"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia AYABACA (000)",35768,880,11667,10790,8905,3526
"Empleado (001)",2895,16,781,1410,666,22
"Obrero (002)",2980,38,1395,841,570,136
"Trabajador independiente (003)",22157,145,4821,7178,6910,3103
"Empleador o patrono (004)",263,,58,93,82,30
"Trabajador familiar no remunerado (005)",7078,656,4377,1198,623,224
"Trabajador del hogar (006)",395,25,235,70,54,11
"Hombres (008)",30891,737,10156,9098,7696,3204
"Empleado (009)",1504,10,359,719,399,17
"Obrero (010)",2787,32,1330,789,519,117
"Trabajador independiente (011)",20284,122,4384,6588,6297,2893
"Empleador o patrono (012)",234,,50,84,73,27
"Trabajador familiar no remunerado (013)",6065,569,4023,916,408,149
"Trabajador del hogar (014)",17,4,10,2,,1
"Mujeres (016)",4877,143,1511,1692,1209,322
"Empleado (017)",1391,6,422,691,267,5
"Obrero (018)",193,6,65,52,51,19
"Trabajador independiente (019)",1873,23,437,590,613,210
"Empleador o patrono (020)",29,,8,9,9,3
"Trabajador familiar no remunerado (021)",1013,87,354,282,215,75
"Trabajador del hogar (022)",378,21,225,68,54,10
,,,,,,
"URBANA (024)",5694,122,1641,2081,1495,355
"Empleado (025)",1909,16,473,912,492,16
"Obrero (026)",624,7,302,167,121,27
"Trabajador independiente (027)",2494,37,552,844,779,282
"Empleador o patrono (028)",57,,15,19,18,5
"Trabajador familiar no remunerado (029)",435,46,178,116,71,24
"Trabajador del hogar (030)",175,16,121,23,14,1
"Hombres (032)",3660,71,1034,1283,986,286
"Empleado (033)",1018,10,227,478,292,11
"Obrero (034)",578,5,284,157,109,23
"Trabajador independiente (035)",1778,25,391,582,545,235
"Empleador o patrono (036)",39,,11,13,11,4
"Trabajador familiar no remunerado (037)",241,28,118,53,29,13
"Trabajador del hogar (038)",6,3,3,,,
"Mujeres (040)",2034,51,607,798,509,69
"Empleado (041)",891,6,246,434,200,5
"Obrero (042)",46,2,18,10,12,4
"Trabajador independiente (043)",716,12,161,262,234,47
"Empleador o patrono (044)",18,,4,6,7,1
"Trabajador familiar no remunerado (045)",194,18,60,63,42,11
"Trabajador del hogar (046)",169,13,118,23,14,1
,,,,,,
"RURAL (048)",30074,758,10026,8709,7410,3171
"Empleado (049)",986,,308,498,174,6
"Obrero (050)",2356,31,1093,674,449,109
"Trabajador independiente (051)",19663,108,4269,6334,6131,2821
"Empleador o patrono (052)",206,,43,74,64,25
"Trabajador familiar no remunerado (053)",6643,610,4199,1082,552,200
"Trabajador del hogar (054)",220,9,114,47,40,10
"Hombres (056)",27231,666,9122,7815,6710,2918
"Empleado (057)",486,,132,241,107,6
"Obrero (058)",2209,27,1046,632,410,94
"Trabajador independiente (059)",18506,97,3993,6006,5752,2658
"Empleador o patrono (060)",195,,39,71,62,23
"Trabajador familiar no remunerado (061)",5824,541,3905,863,379,136
"Trabajador del hogar (062)",11,1,7,2,,1
"Mujeres (064)",2843,92,904,894,700,253
"Empleado (065)",500,,176,257,67,
"Obrero (066)",147,4,47,42,39,15
"Trabajador independiente (067)",1157,11,276,328,379,163
"Empleador o patrono (068)",11,,4,3,2,2
"Trabajador familiar no remunerado (069)",819,69,294,219,173,64
"Trabajador del hogar (070)",209,8,107,45,40,9
