"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CARAVELI (000)",31898,5967,10378,8279,5122,2152
"Hombres (001)",18264,3115,6039,4894,3038,1178
"Mujeres (002)",13634,2852,4339,3385,2084,974
"PEA (003)",17135,138,6413,6128,3609,847
"Hombres (004)",12938,97,4920,4521,2702,698
"Mujeres (005)",4197,41,1493,1607,907,149
"Ocupada (006)",16677,132,6208,5984,3534,819
"Hombres (007)",12594,91,4785,4409,2637,672
"Mujeres (008)",4083,41,1423,1575,897,147
"Desocupada (009)",458,6,205,144,75,28
"Hombres (010)",344,6,135,112,65,26
"Mujeres (011)",114,,70,32,10,2
"No PEA (012)",14763,5829,3965,2151,1513,1305
"Hombres (013)",5326,3018,1119,373,336,480
"Mujeres (014)",9437,2811,2846,1778,1177,825
,,,,,,
"URBANA (018)",20478,4336,5912,5381,3407,1442
"Hombres (019)",10865,2256,3040,2873,1933,763
"Mujeres (020)",9613,2080,2872,2508,1474,679
"PEA (021)",9895,90,3140,3817,2333,515
"Hombres (022)",6915,60,2186,2581,1678,410
"Mujeres (023)",2980,30,954,1236,655,105
"Ocupada (024)",9524,84,2978,3699,2273,490
"Hombres (025)",6641,54,2082,2491,1627,387
"Mujeres (026)",2883,30,896,1208,646,103
"Desocupada (027)",371,6,162,118,60,25
"Hombres (028)",274,6,104,90,51,23
"Mujeres (029)",97,,58,28,9,2
"No PEA (030)",10583,4246,2772,1564,1074,927
"Hombres (031)",3950,2196,854,292,255,353
"Mujeres (032)",6633,2050,1918,1272,819,574
,,,,,,
"RURAL (036)",11420,1631,4466,2898,1715,710
"Hombres (037)",7399,859,2999,2021,1105,415
"Mujeres (038)",4021,772,1467,877,610,295
"PEA (039)",7240,48,3273,2311,1276,332
"Hombres (040)",6023,37,2734,1940,1024,288
"Mujeres (041)",1217,11,539,371,252,44
"Ocupada (042)",7153,48,3230,2285,1261,329
"Hombres (043)",5953,37,2703,1918,1010,285
"Mujeres (044)",1200,11,527,367,251,44
"Desocupada (045)",87,,43,26,15,3
"Hombres (046)",70,,31,22,14,3
"Mujeres (047)",17,,12,4,1,
"No PEA (048)",4180,1583,1193,587,439,378
"Hombres (049)",1376,822,265,81,81,127
"Mujeres (050)",2804,761,928,506,358,251
