"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia NAZCA (000)",51670,4555,12368,2535,32414
"Hombres (001)",26489,2185,6602,1546,16288
"Mujeres (002)",25181,2370,5766,989,16126
"PEA (003)",24276,921,6183,1392,15912
"Hombres (004)",16278,563,4322,1018,10475
"Mujeres (005)",7998,358,1861,374,5437
"Ocupada (006)",23355,881,6092,1379,15135
"Hombres (007)",15689,539,4271,1008,9971
"Mujeres (008)",7666,342,1821,371,5164
"Desocupada (009)",921,40,91,13,777
"Hombres (010)",589,24,51,10,504
"Mujeres (011)",332,16,40,3,273
"No PEA (012)",27394,3634,6185,1143,16502
"Hombres (013)",10211,1622,2280,528,5813
"Mujeres (014)",17183,2012,3905,615,10689
,,,,,
"URBANA (018)",45333,3579,11712,2357,27879
"Hombres (019)",22997,1672,6221,1427,13803
"Mujeres (020)",22336,1907,5491,930,14076
"PEA (021)",21383,796,5895,1291,13526
"Hombres (022)",14109,478,4098,939,8688
"Mujeres (023)",7274,318,1797,352,4838
"Ocupada (024)",20586,761,5809,1280,12861
"Hombres (025)",13615,458,4052,931,8268
"Mujeres (026)",6971,303,1757,349,4593
"Desocupada (027)",797,35,86,11,665
"Hombres (028)",494,20,46,8,420
"Mujeres (029)",303,15,40,3,245
"No PEA (030)",23950,2783,5817,1066,14353
"Hombres (031)",8888,1194,2123,488,5115
"Mujeres (032)",15062,1589,3694,578,9238
,,,,,
"RURAL (036)",6337,976,656,178,4535
"Hombres (037)",3492,513,381,119,2485
"Mujeres (038)",2845,463,275,59,2050
"PEA (039)",2893,125,288,101,2386
"Hombres (040)",2169,85,224,79,1787
"Mujeres (041)",724,40,64,22,599
"Ocupada (042)",2769,120,283,99,2274
"Hombres (043)",2074,81,219,77,1703
"Mujeres (044)",695,39,64,22,571
"Desocupada (045)",124,5,5,2,112
"Hombres (046)",95,4,5,2,84
"Mujeres (047)",29,1,,,28
"No PEA (048)",3444,851,368,77,2149
"Hombres (049)",1323,428,157,40,698
"Mujeres (050)",2121,423,211,37,1451
