"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia REQUENA (000)",20286,19703,5495,2273,2325,1835,2874,2011,2890,583
"Católica (001)",14203,13772,3998,1676,1676,1287,2002,1315,1818,431
"Cristiana/Evangélica (002)",5179,5053,1247,488,543,467,758,602,948,126
"Otra (003)",521,508,137,56,59,41,68,61,86,13
"Ninguna (004)",383,370,113,53,47,40,46,33,38,13
,,,,,,,,,,
"URBANA (006)",12353,11964,3607,1459,1483,1125,1718,1145,1427,389
"Católica (007)",9219,8922,2800,1167,1127,826,1276,793,933,297
"Cristiana/Evangélica (008)",2646,2573,668,230,299,249,389,302,436,73
"Otra (009)",285,275,79,32,30,23,33,35,43,10
"Ninguna (010)",203,194,60,30,27,27,20,15,15,9
,,,,,,,,,,
"RURAL (012)",7933,7739,1888,814,842,710,1156,866,1463,194
"Católica (013)",4984,4850,1198,509,549,461,726,522,885,134
"Cristiana/Evangélica (014)",2533,2480,579,258,244,218,369,300,512,53
"Otra (015)",236,233,58,24,29,18,35,26,43,3
"Ninguna (016)",180,176,53,23,20,13,26,18,23,4
