"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia PADRE ABAD (000)",46652,2481,5486,6112,5335,9180,7601,9023,1434
"Sabe leer y escribir (001)",39836,,3821,5998,5243,8819,7058,7894,1003
"No sabe leer y escribir (002)",6816,2481,1665,114,92,361,543,1129,431
"Hombres (004)",25938,1272,2837,3188,2824,5082,4280,5581,874
"Sabe leer y escribir (005)",22887,,1976,3119,2778,4962,4119,5209,724
"No sabe leer y escribir (006)",3051,1272,861,69,46,120,161,372,150
"Mujeres (008)",20714,1209,2649,2924,2511,4098,3321,3442,560
"Sabe leer y escribir (009)",16949,,1845,2879,2465,3857,2939,2685,279
"No sabe leer y escribir (010)",3765,1209,804,45,46,241,382,757,281
,,,,,,,,,
"URBANA (012)",24823,1147,2633,3336,3033,4996,4300,4709,669
"Sabe leer y escribir (013)",22101,,1964,3294,2999,4876,4123,4331,514
"No sabe leer y escribir (014)",2722,1147,669,42,34,120,177,378,155
"Hombres (016)",13332,562,1365,1634,1508,2671,2366,2845,381
"Sabe leer y escribir (017)",12167,,1024,1606,1495,2631,2330,2742,339
"No sabe leer y escribir (018)",1165,562,341,28,13,40,36,103,42
"Mujeres (020)",11491,585,1268,1702,1525,2325,1934,1864,288
"Sabe leer y escribir (021)",9934,,940,1688,1504,2245,1793,1589,175
"No sabe leer y escribir (022)",1557,585,328,14,21,80,141,275,113
,,,,,,,,,
"RURAL (024)",21829,1334,2853,2776,2302,4184,3301,4314,765
"Sabe leer y escribir (025)",17735,,1857,2704,2244,3943,2935,3563,489
"No sabe leer y escribir (026)",4094,1334,996,72,58,241,366,751,276
"Hombres (028)",12606,710,1472,1554,1316,2411,1914,2736,493
"Sabe leer y escribir (029)",10720,,952,1513,1283,2331,1789,2467,385
"No sabe leer y escribir (030)",1886,710,520,41,33,80,125,269,108
"Mujeres (032)",9223,624,1381,1222,986,1773,1387,1578,272
"Sabe leer y escribir (033)",7015,,905,1191,961,1612,1146,1096,104
"No sabe leer y escribir (034)",2208,624,476,31,25,161,241,482,168
