"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUANCA SANCOS (000)",3004,2945,11,500,599,439,751,449,165,31,59,10899
"De 12 a 14 años (001)",6,2,,1,1,,,,,,4,3
"De 15 a 19 años (002)",54,51,,50,1,,,,,,3,52
"De 20 a 24 años (003)",261,244,,153,76,14,,1,,,17,354
"De 25 a 29 años (004)",299,285,,86,129,57,11,2,,,14,575
"De 30 a 34 años (005)",312,302,2,64,98,69,63,6,,,10,770
"De 35 a 39 años (006)",342,340,,28,82,76,117,30,7,,2,1183
"De 40 a 44 años (007)",320,319,,24,52,55,119,52,17,,1,1286
"De 45 a 49 años (008)",274,271,1,12,34,41,94,67,19,3,3,1237
"De 50 y más años (009)",1136,1131,8,82,126,127,347,291,122,28,5,5439
"PEA (010)",1177,1144,6,212,247,179,279,153,59,9,33,4031
"De 12 a 14 años (011)",3,2,,1,1,,,,,,1,3
"De 15 a 19 años (012)",15,14,,14,,,,,,,1,14
"De 20 a 24 años (013)",83,73,,53,14,6,,,,,10,99
"De 25 a 29 años (014)",125,114,,44,48,20,2,,,,11,208
"De 30 a 34 años (015)",131,126,2,36,43,25,17,3,,,5,287
"De 35 a 39 años (016)",156,154,,17,43,35,47,9,3,,2,494
"De 40 a 44 años (017)",151,151,,13,25,30,53,22,8,,,592
"De 45 a 49 años (018)",131,130,1,8,21,21,46,22,10,1,1,552
"De 50 y más años (019)",382,380,3,26,52,42,114,97,38,8,2,1782
"Ocupada (020)",1163,1130,5,207,244,176,278,152,59,9,33,4000
"De 12 a 14 años (021)",3,2,,1,1,,,,,,1,3
"De 15 a 19 años (022)",15,14,,14,,,,,,,1,14
"De 20 a 24 años (023)",80,70,,50,14,6,,,,,10,96
