"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia TOCACHE (000)",68768,1400,22326,19034,14383,9250,2375
"Jefe o Jefa (001)",18036,,32,3586,7346,5730,1342
"Esposa(o) / compañera(o) (002)",11048,,24,3369,4848,2465,342
"Hijo(a) / hijastro(a) (003)",28746,1024,18531,8289,777,123,2
"Yerno / nuera (004)",835,,14,599,205,17,
"Nieto(a) (005)",2558,257,1998,293,9,1,
"Padres / suegros (006)",806,,,,25,267,514
"Otro(a) pariente (007)",4839,100,1529,1991,704,391,124
"Trabajador(a) del hogar (008)",118,,11,71,18,16,2
"Pensionistas (009)",87,,3,41,28,13,2
"Otro(a) no pariente (010)",1695,19,184,795,423,227,47
"Hombres (011)",37209,745,11514,10352,7790,5515,1293
"Jefe o Jefa (012)",14380,,20,2804,5929,4649,978
"Esposa(o) / compañera(o) (013)",806,,11,204,337,215,39
"Hijo(a) / hijastro(a) (014)",15665,560,9519,5009,501,76,
"Yerno / nuera (015)",388,,9,220,146,13,
"Nieto(a) (016)",1389,122,1075,185,6,1,
"Padres / suegros (017)",280,,,,11,92,177
"Otro(a) pariente (018)",3015,50,798,1359,485,262,61
"Trabajador(a) del hogar (019)",22,,2,7,6,7,
"Pensionistas (020)",74,,1,31,27,13,2
"Otro(a) no pariente (021)",1190,13,79,533,342,187,36
"Mujeres (022)",31559,655,10812,8682,6593,3735,1082
"Jefe o Jefa (023)",3656,,12,782,1417,1081,364
"Esposa(o) / compañera(o) (024)",10242,,13,3165,4511,2250,303
"Hijo(a) / hijastro(a) (025)",13081,464,9012,3280,276,47,2
"Yerno / nuera (026)",447,,5,379,59,4,
"Nieto(a) (027)",1169,135,923,108,3,,
"Padres / suegros (028)",526,,,,14,175,337
"Otro(a) pariente (029)",1824,50,731,632,219,129,63
"Trabajador(a) del hogar (030)",96,,9,64,12,9,2
"Pensionistas (031)",13,,2,10,1,,
"Otro(a) no pariente (032)",505,6,105,262,81,40,11
,,,,,,,
"URBANA (033)",34110,670,10506,9634,7312,4805,1183
"Jefe o Jefa (034)",8872,,21,1643,3644,2929,635
"Esposa(o) / compañera(o) (035)",5409,,10,1435,2495,1306,163
"Hijo(a) / hijastro(a) (036)",13979,445,8486,4501,471,75,1
"Yerno / nuera (037)",492,,9,347,125,11,
"Nieto(a) (038)",1492,159,1144,184,4,1,
"Padres / suegros (039)",441,,,,12,131,298
"Otro(a) pariente (040)",2380,55,721,991,336,218,59
"Trabajador(a) del hogar (041)",91,,7,59,14,10,1
"Pensionistas (042)",35,,3,15,9,7,1
"Otro(a) no pariente (043)",919,11,105,459,202,117,25
"Hombres (044)",17585,343,5322,4953,3668,2706,593
"Jefe o Jefa (045)",6522,,13,1153,2702,2235,419
"Esposa(o) / compañera(o) (046)",484,,5,119,200,133,27
"Hijo(a) / hijastro(a) (047)",7426,237,4304,2552,289,44,
"Yerno / nuera (048)",226,,7,121,89,9,
"Nieto(a) (049)",780,75,593,109,2,1,
"Padres / suegros (050)",146,,,,5,40,101
"Otro(a) pariente (051)",1390,24,354,623,219,141,29
"Trabajador(a) del hogar (052)",15,,2,4,5,4,
"Pensionistas (053)",27,,1,10,8,7,1
"Otro(a) no pariente (054)",569,7,43,262,149,92,16
"Mujeres (055)",16525,327,5184,4681,3644,2099,590
"Jefe o Jefa (056)",2350,,8,490,942,694,216
"Esposa(o) / compañera(o) (057)",4925,,5,1316,2295,1173,136
"Hijo(a) / hijastro(a) (058)",6553,208,4182,1949,182,31,1
"Yerno / nuera (059)",266,,2,226,36,2,
"Nieto(a) (060)",712,84,551,75,2,,
"Padres / suegros (061)",295,,,,7,91,197
"Otro(a) pariente (062)",990,31,367,368,117,77,30
"Trabajador(a) del hogar (063)",76,,5,55,9,6,1
"Pensionistas (064)",8,,2,5,1,,
"Otro(a) no pariente (065)",350,4,62,197,53,25,9
,,,,,,,
"RURAL (066)",34658,730,11820,9400,7071,4445,1192
"Jefe o Jefa (067)",9164,,11,1943,3702,2801,707
"Esposa(o) / compañera(o) (068)",5639,,14,1934,2353,1159,179
"Hijo(a) / hijastro(a) (069)",14767,579,10045,3788,306,48,1
"Yerno / nuera (070)",343,,5,252,80,6,
"Nieto(a) (071)",1066,98,854,109,5,,
"Padres / suegros (072)",365,,,,13,136,216
"Otro(a) pariente (073)",2459,45,808,1000,368,173,65
"Trabajador(a) del hogar (074)",27,,4,12,4,6,1
"Pensionistas (075)",52,,,26,19,6,1
"Otro(a) no pariente (076)",776,8,79,336,221,110,22
"Hombres (077)",19624,402,6192,5399,4122,2809,700
"Jefe o Jefa (078)",7858,,7,1651,3227,2414,559
"Esposa(o) / compañera(o) (079)",322,,6,85,137,82,12
"Hijo(a) / hijastro(a) (080)",8239,323,5215,2457,212,32,
"Yerno / nuera (081)",162,,2,99,57,4,
"Nieto(a) (082)",609,47,482,76,4,,
"Padres / suegros (083)",134,,,,6,52,76
"Otro(a) pariente (084)",1625,26,444,736,266,121,32
"Trabajador(a) del hogar (085)",7,,,3,1,3,
"Pensionistas (086)",47,,,21,19,6,1
"Otro(a) no pariente (087)",621,6,36,271,193,95,20
"Mujeres (088)",15034,328,5628,4001,2949,1636,492
"Jefe o Jefa (089)",1306,,4,292,475,387,148
"Esposa(o) / compañera(o) (090)",5317,,8,1849,2216,1077,167
"Hijo(a) / hijastro(a) (091)",6528,256,4830,1331,94,16,1
"Yerno / nuera (092)",181,,3,153,23,2,
"Nieto(a) (093)",457,51,372,33,1,,
"Padres / suegros (094)",231,,,,7,84,140
"Otro(a) pariente (095)",834,19,364,264,102,52,33
"Trabajador(a) del hogar (096)",20,,4,9,3,3,1
"Pensionistas (097)",5,,,5,,,
