"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SULLANA (000)",1953,1735,218
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",200,200,
"Casa pensión (003)",8,8,
"Hospital, clinica (004)",344,340,4
"Cárcel, centro de readaptación social (005)",117,117,
"Otro (008)",911,697,214
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",373,373,
