"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia YUNGAY (000)",16646,3038,38,7529,3264,497,1397,213,670
"Empleado (001)",1816,26,,91,250,125,786,96,442
"Obrero (002)",2613,362,10,1182,793,92,114,24,36
"Trabajador independiente (003)",9385,2109,18,4834,1592,213,405,67,147
"Empleador o patrono (004)",230,33,,99,43,13,20,6,16
"Trabajador familiar no remunerado (005)",2348,440,10,1222,532,41,59,18,26
"Trabajador del hogar (006)",254,68,,101,54,13,13,2,3
"Hombres (008)",12837,2125,30,6286,2652,343,820,144,437
"Empleado (009)",1009,10,,52,167,62,404,52,262
"Obrero (010)",2345,291,10,1084,725,80,100,21,34
"Trabajador independiente (011)",7777,1622,14,4239,1303,161,270,53,115
"Empleador o patrono (012)",181,25,,84,36,10,12,6,8
"Trabajador familiar no remunerado (013)",1516,176,6,821,420,30,33,12,18
"Trabajador del hogar (014)",9,1,,6,1,,1,,
"Mujeres (016)",3809,913,8,1243,612,154,577,69,233
"Empleado (017)",807,16,,39,83,63,382,44,180
"Obrero (018)",268,71,,98,68,12,14,3,2
"Trabajador independiente (019)",1608,487,4,595,289,52,135,14,32
"Empleador o patrono (020)",49,8,,15,7,3,8,,8
"Trabajador familiar no remunerado (021)",832,264,4,401,112,11,26,6,8
"Trabajador del hogar (022)",245,67,,95,53,13,12,2,3
,,,,,,,,,
"URBANA (024)",5065,441,11,1369,1293,318,959,163,511
"Empleado (025)",1347,15,,49,186,93,567,79,358
"Obrero (026)",777,76,6,239,286,53,72,17,28
"Trabajador independiente (027)",2240,245,4,822,624,133,267,49,96
"Empleador o patrono (028)",127,11,,53,25,8,12,5,13
"Trabajador familiar no remunerado (029)",414,51,1,148,138,21,28,12,15
"Trabajador del hogar (030)",160,43,,58,34,10,13,1,1
"Hombres (032)",3132,197,10,862,934,195,510,109,315
"Empleado (033)",717,6,,25,120,40,275,46,205
"Obrero (034)",672,51,6,210,257,45,62,15,26
"Trabajador independiente (035)",1459,125,3,530,446,91,157,36,71
"Empleador o patrono (036)",86,6,,40,19,5,5,5,6
"Trabajador familiar no remunerado (037)",193,9,1,54,91,14,10,7,7
"Trabajador del hogar (038)",5,,,3,1,,1,,
"Mujeres (040)",1933,244,1,507,359,123,449,54,196
"Empleado (041)",630,9,,24,66,53,292,33,153
"Obrero (042)",105,25,,29,29,8,10,2,2
"Trabajador independiente (043)",781,120,1,292,178,42,110,13,25
"Empleador o patrono (044)",41,5,,13,6,3,7,,7
"Trabajador familiar no remunerado (045)",221,42,,94,47,7,18,5,8
"Trabajador del hogar (046)",155,43,,55,33,10,12,1,1
,,,,,,,,,
"RURAL (048)",11581,2597,27,6160,1971,179,438,50,159
"Empleado (049)",469,11,,42,64,32,219,17,84
"Obrero (050)",1836,286,4,943,507,39,42,7,8
"Trabajador independiente (051)",7145,1864,14,4012,968,80,138,18,51
"Empleador o patrono (052)",103,22,,46,18,5,8,1,3
"Trabajador familiar no remunerado (053)",1934,389,9,1074,394,20,31,6,11
"Trabajador del hogar (054)",94,25,,43,20,3,,1,2
"Hombres (056)",9705,1928,20,5424,1718,148,310,35,122
"Empleado (057)",292,4,,27,47,22,129,6,57
"Obrero (058)",1673,240,4,874,468,35,38,6,8
"Trabajador independiente (059)",6318,1497,11,3709,857,70,113,17,44
"Empleador o patrono (060)",95,19,,44,17,5,7,1,2
"Trabajador familiar no remunerado (061)",1323,167,5,767,329,16,23,5,11
"Trabajador del hogar (062)",4,1,,3,,,,,
"Mujeres (064)",1876,669,7,736,253,31,128,15,37
"Empleado (065)",177,7,,15,17,10,90,11,27
"Obrero (066)",163,46,,69,39,4,4,1,
"Trabajador independiente (067)",827,367,3,303,111,10,25,1,7
"Empleador o patrono (068)",8,3,,2,1,,1,,1
"Trabajador familiar no remunerado (069)",611,222,4,307,65,4,8,1,
"Trabajador del hogar (070)",90,24,,40,20,3,,1,2
