"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia MELGAR (000)",74735,1214,25510,18964,13255,10338,5454
"Hombres (001)",36421,625,12900,9203,6232,4962,2499
"Mujeres (002)",38314,589,12610,9761,7023,5376,2955
"Viviendas particulares (003)",73335,1202,25331,18504,12753,10116,5429
"Hombres (004)",35441,617,12804,8912,5831,4791,2486
"Mujeres (005)",37894,585,12527,9592,6922,5325,2943
"Viviendas colectivas (006)",1208,9,152,395,440,188,24
"Hombres (007)",866,5,83,258,361,146,13
"Mujeres (008)",342,4,69,137,79,42,11
"Otro tipo (009)",192,3,27,65,62,34,1
"Hombres (010)",114,3,13,33,40,25,
"Mujeres (011)",78,,14,32,22,9,1
,,,,,,,
"URBANA (012)",35536,537,12016,9605,6724,4453,2201
"Hombres (013)",17081,286,6024,4643,3076,2125,927
"Mujeres (014)",18455,251,5992,4962,3648,2328,1274
"Viviendas particulares (015)",34840,530,11890,9343,6537,4359,2181
"Hombres (016)",16675,280,5950,4508,2952,2067,918
"Mujeres (017)",18165,250,5940,4835,3585,2292,1263
"Viviendas colectivas (018)",506,4,100,197,125,61,19
"Hombres (019)",293,3,61,102,84,34,9
"Mujeres (020)",213,1,39,95,41,27,10
"Otro tipo (021)",190,3,26,65,62,33,1
"Hombres (022)",113,3,13,33,40,24,
"Mujeres (023)",77,,13,32,22,9,1
,,,,,,,
"RURAL (024)",39199,677,13494,9359,6531,5885,3253
"Hombres (025)",19340,339,6876,4560,3156,2837,1572
"Mujeres (026)",19859,338,6618,4799,3375,3048,1681
"Viviendas particulares (027)",38495,672,13441,9161,6216,5757,3248
"Hombres (028)",18766,337,6854,4404,2879,2724,1568
"Mujeres (029)",19729,335,6587,4757,3337,3033,1680
"Viviendas colectivas (030)",702,5,52,198,315,127,5
"Hombres (031)",573,2,22,156,277,112,4
"Mujeres (032)",129,3,30,42,38,15,1
"Otro tipo (033)",2,,1,,,1,
"Hombres (034)",1,,,,,1,
"Mujeres (035)",1,,1,,,,
