"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CANAS (000)",26359,10826,895,162,14499
"Conviviente (001)",4709,1626,156,34,2894
"Separado(a) (002)",522,176,11,1,334
"Casado(a) (003)",10074,4045,415,74,5560
"Viudo(a) (004)",1955,681,35,8,1231
"Divorciado(a) (005)",52,14,3,1,34
"Soltero(a) (006)",9047,4284,275,44,4446
"Hombres (008)",13016,5002,501,114,7418
"Conviviente (009)",2256,638,87,27,1505
"Separado(a) (010)",87,23,3,1,60
"Casado(a) (011)",4962,1856,251,51,2821
"Viudo(a) (012)",573,195,13,2,363
"Divorciado(a) (013)",20,5,2,1,12
"Soltero(a) (014)",5118,2285,145,32,2657
"Mujeres (016)",13343,5824,394,48,7081
"Conviviente (017)",2453,988,69,7,1389
"Separado(a) (018)",435,153,8,,274
"Casado(a) (019)",5112,2189,164,23,2739
"Viudo(a) (020)",1382,486,22,6,868
"Divorciado(a) (021)",32,9,1,,22
"Soltero(a) (022)",3929,1999,130,12,1789
,,,,,
"URBANA (024)",4445,864,520,99,2967
"Conviviente (025)",1043,128,105,17,794
"Separado(a) (026)",105,16,6,,83
"Casado(a) (027)",1415,201,231,44,941
"Viudo(a) (028)",267,36,20,3,208
"Divorciado(a) (029)",12,1,2,1,8
"Soltero(a) (030)",1603,482,156,34,933
"Hombres (032)",2211,412,281,73,1448
"Conviviente (033)",509,44,61,14,391
"Separado(a) (034)",19,2,2,,15
"Casado(a) (035)",709,97,136,32,445
"Viudo(a) (036)",64,11,3,1,49
"Divorciado(a) (037)",7,,2,1,4
"Soltero(a) (038)",903,258,77,25,544
"Mujeres (040)",2234,452,239,26,1519
"Conviviente (041)",534,84,44,3,403
"Separado(a) (042)",86,14,4,,68
"Casado(a) (043)",706,104,95,12,496
"Viudo(a) (044)",203,25,17,2,159
"Divorciado(a) (045)",5,1,,,4
"Soltero(a) (046)",700,224,79,9,389
,,,,,
"RURAL (048)",21914,9962,375,63,11532
"Conviviente (049)",3666,1498,51,17,2100
"Separado(a) (050)",417,160,5,1,251
"Casado(a) (051)",8659,3844,184,30,4619
"Viudo(a) (052)",1688,645,15,5,1023
"Divorciado(a) (053)",40,13,1,,26
"Soltero(a) (054)",7444,3802,119,10,3513
"Hombres (056)",10805,4590,220,41,5970
"Conviviente (057)",1747,594,26,13,1114
"Separado(a) (058)",68,21,1,1,45
"Casado(a) (059)",4253,1759,115,19,2376
"Viudo(a) (060)",509,184,10,1,314
"Divorciado(a) (061)",13,5,,,8
"Soltero(a) (062)",4215,2027,68,7,2113
"Mujeres (064)",11109,5372,155,22,5562
"Conviviente (065)",1919,904,25,4,986
"Separado(a) (066)",349,139,4,,206
"Casado(a) (067)",4406,2085,69,11,2243
"Viudo(a) (068)",1179,461,5,4,709
"Divorciado(a) (069)",27,8,1,,18
"Soltero(a) (070)",3229,1775,51,3,1400
