"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia AREQUIPA (000)",823148,61294,22819,165212,244255,60766,82908,73411,112483
"Quechua (001)",101631,15447,342,33239,33063,5788,5953,3070,4729
"Aymara (002)",13464,1763,24,4433,4313,741,933,466,791
"Ashaninca (003)",136,8,8,37,39,7,9,7,21
"Otra lengua nativa (004)",1054,79,34,215,366,86,85,76,113
"Castellano (005)",705179,43670,22371,127139,206275,54102,75822,69662,106138
"Idioma extranjero (006)",1151,18,14,55,146,22,95,120,681
"Es sordomudo/a (007)",533,309,26,94,53,20,11,10,10
"Hombres (009)",395106,22767,11654,75282,123338,30581,37372,39496,54616
"Quechua (010)",45102,2547,149,13467,17761,3267,3176,1883,2852
"Aymara (011)",6252,314,14,1751,2406,448,537,286,496
"Ashaninca (012)",74,5,4,18,24,6,5,3,9
"Otra lengua nativa (013)",520,38,15,103,185,43,38,45,53
"Castellano (014)",342330,19687,11454,59876,102900,26790,33566,37225,50832
"Idioma extranjero (015)",561,10,6,25,43,11,47,49,370
"Es sordomudo/a (016)",267,166,12,42,19,16,3,5,4
"Mujeres (018)",428042,38527,11165,89930,120917,30185,45536,33915,57867
"Quechua (019)",56529,12900,193,19772,15302,2521,2777,1187,1877
"Aymara (020)",7212,1449,10,2682,1907,293,396,180,295
"Ashaninca (021)",62,3,4,19,15,1,4,4,12
"Otra lengua nativa (022)",534,41,19,112,181,43,47,31,60
"Castellano (023)",362849,23983,10917,67263,103375,27312,42256,32437,55306
"Idioma extranjero (024)",590,8,8,30,103,11,48,71,311
"Es sordomudo/a (025)",266,143,14,52,34,4,8,5,6
,,,,,,,,,
"URBANA (027)",802911,58408,22292,158886,237733,59700,81798,72606,111488
"Quechua (028)",96775,14453,300,31253,31722,5632,5836,2971,4608
"Aymara (029)",13110,1703,23,4308,4209,722,914,458,773
"Ashaninca (030)",133,8,7,37,38,6,9,7,21
"Otra lengua nativa (031)",1030,74,34,206,357,86,85,75,113
"Castellano (032)",690194,41855,21888,122933,201210,53212,74849,68965,105282
"Idioma extranjero (033)",1151,18,14,55,146,22,95,120,681
"Es sordomudo/a (034)",518,297,26,94,51,20,10,10,10
"Hombres (036)",384164,21616,11397,71986,119502,29958,36707,38989,54009
"Quechua (037)",42552,2253,131,12409,16928,3160,3089,1814,2768
"Aymara (038)",6072,297,13,1693,2342,438,527,282,480
"Ashaninca (039)",72,5,3,18,24,5,5,3,9
"Otra lengua nativa (040)",511,36,15,99,182,43,38,45,53
"Castellano (041)",334137,18856,11217,57700,99965,26285,32998,36791,50325
"Idioma extranjero (042)",561,10,6,25,43,11,47,49,370
"Es sordomudo/a (043)",259,159,12,42,18,16,3,5,4
"Mujeres (045)",418747,36792,10895,86900,118231,29742,45091,33617,57479
"Quechua (046)",54223,12200,169,18844,14794,2472,2747,1157,1840
"Aymara (047)",7038,1406,10,2615,1867,284,387,176,293
"Ashaninca (048)",61,3,4,19,14,1,4,4,12
"Otra lengua nativa (049)",519,38,19,107,175,43,47,30,60
"Castellano (050)",356057,22999,10671,65233,101245,26927,41851,32174,54957
"Idioma extranjero (051)",590,8,8,30,103,11,48,71,311
"Es sordomudo/a (052)",259,138,14,52,33,4,7,5,6
,,,,,,,,,
"RURAL (054)",20237,2886,527,6326,6522,1066,1110,805,995
"Quechua (055)",4856,994,42,1986,1341,156,117,99,121
"Aymara (056)",354,60,1,125,104,19,19,8,18
"Ashaninca (057)",3,,1,,1,1,,,
"Otra lengua nativa (058)",24,5,,9,9,,,1,
"Castellano (059)",14985,1815,483,4206,5065,890,973,697,856
"Es sordomudo/a (061)",15,12,,,2,,1,,
"Hombres (063)",10942,1151,257,3296,3836,623,665,507,607
"Quechua (064)",2550,294,18,1058,833,107,87,69,84
"Aymara (065)",180,17,1,58,64,10,10,4,16
"Ashaninca (066)",2,,1,,,1,,,
"Otra lengua nativa (067)",9,2,,4,3,,,,
"Castellano (068)",8193,831,237,2176,2935,505,568,434,507
"Es sordomudo/a (070)",8,7,,,1,,,,
"Mujeres (072)",9295,1735,270,3030,2686,443,445,298,388
"Quechua (073)",2306,700,24,928,508,49,30,30,37
"Aymara (074)",174,43,,67,40,9,9,4,2
"Ashaninca (075)",1,,,,1,,,,
"Otra lengua nativa (076)",15,3,,5,6,,,1,
"Castellano (077)",6792,984,246,2030,2130,385,405,263,349
"Es sordomudo/a (079)",7,5,,,1,,1,,
