"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SANCHEZ CARRION (000)",136221,54554,5956,1153,74645
"Menos de 1 año (001)",3762,2444,118,10,1191
"De 1 a 14 años (002)",54308,37840,2282,238,13972
"De 15 a 29 años (003)",33389,7617,1015,390,24381
"De 30 a 44 años (004)",21851,4104,1578,287,15911
"De 45 a 64 años (005)",15653,1995,807,185,12683
"De 65 y mas años (006)",7258,554,156,43,6507
"Hombres (008)",66321,26040,2922,759,36657
"Menos de 1 año (009)",1883,1234,54,4,592
"De 1 a 14 años (010)",27402,19191,1151,115,6956
"De 15 a 29 años (011)",16043,3065,459,300,12226
"De 30 a 44 años (012)",10245,1471,736,188,7874
"De 45 a 64 años (013)",7398,809,433,127,6042
"De 65 y mas años (014)",3350,270,89,25,2967
"Mujeres (016)",69900,28514,3034,394,37988
"Menos de 1 año (017)",1879,1210,64,6,599
"De 1 a 14 años (018)",26906,18649,1131,123,7016
"De 15 a 29 años (019)",17346,4552,556,90,12155
"De 30 a 44 años (020)",11606,2633,842,99,8037
"De 45 a 64 años (021)",8255,1186,374,58,6641
"De 65 y mas años (022)",3908,284,67,18,3540
,,,,,
"URBANA (024)",36585,8006,5075,943,22623
"Menos de 1 año (025)",802,371,92,9,330
"De 1 a 14 años (026)",12728,4973,1935,181,5652
"De 15 a 29 años (027)",10100,1435,828,318,7530
"De 30 a 44 años (028)",6691,695,1364,244,4411
"De 45 a 64 años (029)",4459,397,720,159,3196
"De 65 y mas años (030)",1805,135,136,32,1504
"Hombres (032)",17439,3728,2471,622,10662
"Menos de 1 año (033)",400,187,44,3,166
"De 1 a 14 años (034)",6383,2507,974,88,2821
"De 15 a 29 años (035)",4780,560,371,248,3607
"De 30 a 44 años (036)",3012,251,619,154,2007
"De 45 a 64 años (037)",2035,158,388,111,1389
"De 65 y mas años (038)",829,65,75,18,672
"Mujeres (040)",19146,4278,2604,321,11961
"Menos de 1 año (041)",402,184,48,6,164
"De 1 a 14 años (042)",6345,2466,961,93,2831
"De 15 a 29 años (043)",5320,875,457,70,3923
"De 30 a 44 años (044)",3679,444,745,90,2404
"De 45 a 64 años (045)",2424,239,332,48,1807
"De 65 y mas años (046)",976,70,61,14,832
,,,,,
"RURAL (048)",99636,46548,881,210,52022
"Menos de 1 año (049)",2960,2073,26,1,861
"De 1 a 14 años (050)",41580,32867,347,57,8320
"De 15 a 29 años (051)",23289,6182,187,72,16851
"De 30 a 44 años (052)",15160,3409,214,43,11500
"De 45 a 64 años (053)",11194,1598,87,26,9487
"De 65 y mas años (054)",5453,419,20,11,5003
"Hombres (056)",48882,22312,451,137,25995
"Menos de 1 año (057)",1483,1047,10,1,426
"De 1 a 14 años (058)",21019,16684,177,27,4135
"De 15 a 29 años (059)",11263,2505,88,52,8619
"De 30 a 44 años (060)",7233,1220,117,34,5867
"De 45 a 64 años (061)",5363,651,45,16,4653
"De 65 y mas años (062)",2521,205,14,7,2295
"Mujeres (064)",50754,24236,430,73,26027
"Menos de 1 año (065)",1477,1026,16,,435
"De 1 a 14 años (066)",20561,16183,170,30,4185
"De 15 a 29 años (067)",12026,3677,99,20,8232
"De 30 a 44 años (068)",7927,2189,97,9,5633
"De 45 a 64 años (069)",5831,947,42,10,4834
"De 65 y mas años (070)",2932,214,6,4,2708
