"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia TAHUAMANU (000)",3151,7869,7342,,183,93.3,2.3
"De 12 a 14 años (001)",301,4,4,,,100,
"De 15 a 19 años (002)",424,111,108,29,97.3,26.1,
"De 20 a 24 años (003)",461,478,472,53,98.7,11.1,
"De 25 a 29 años (004)",425,675,666,44,98.7,6.5,
"De 30 a 34 años (005)",357,900,867,26,96.3,2.9,
"De 35 a 39 años (006)",323,1055,1016,19,96.3,1.8,
"De 40 a 44 años (007)",252,1030,974,8,94.6,0.8,
"De 45 a 49 años (008)",173,836,786,4,94,0.5,
"De 50 y más años (009)",435,2780,2449,,88.1,,
"PEA (010)",1241,3248,3037,61,93.5,1.9,
"De 12 a 14 años (011)",17,2,2,,100,,
"De 15 a 19 años (012)",91,30,29,4,96.7,13.3,
"De 20 a 24 años (013)",211,166,164,15,98.8,9,
"De 25 a 29 años (014)",195,257,255,15,99.2,5.8,
"De 30 a 34 años (015)",178,384,365,12,95.1,3.1,
"De 35 a 39 años (016)",158,448,436,9,97.3,2,
"De 40 a 44 años (017)",148,572,549,3,96,0.5,
"De 45 a 49 años (018)",88,424,400,3,94.3,0.7,
"De 50 y más años (019)",155,965,837,,86.7,,
"Ocupada (020)",1199,3200,2991,59,93.5,1.8,
"De 12 a 14 años (021)",17,2,2,,100,,
"De 15 a 19 años (022)",80,29,28,4,96.6,13.8,
"De 20 a 24 años (023)",201,164,163,15,99.4,9.1,
"De 25 a 29 años (024)",188,243,241,13,99.2,5.3,
"De 30 a 34 años (025)",171,375,356,12,94.9,3.2,
"De 35 a 39 años (026)",154,440,429,9,97.5,2,
"De 40 a 44 años (027)",146,561,538,3,95.9,0.5,
"De 45 a 49 años (028)",87,421,397,3,94.3,0.7,
"De 50 y más años (029)",155,965,837,,86.7,,
"Desocupada (030)",42,48,46,2,95.8,4.2,
"De 15 a 19 años (032)",11,1,1,,100,,
"De 20 a 24 años (033)",10,2,1,,50,,
"De 25 a 29 años (034)",7,14,14,2,100,14.3,
"De 30 a 34 años (035)",7,9,9,,100,,
"De 35 a 39 años (036)",4,8,7,,87.5,,
"De 40 a 44 años (037)",2,11,11,,100,,
"De 45 a 49 años (038)",1,3,3,,100,,
"No PEA (040)",1910,4621,4305,122,93.2,2.6,
