"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LA MAR (000)",27397,26875,7595,3440,3060,2570,4160,2882,1788,1380,522,84833
"De 12 a 14 años (001)",3290,3267,3248,17,2,,,,,,23,21
"De 15 a 19 años (002)",3741,3650,2715,781,136,14,4,,,,91,1111
"De 20 a 24 años (003)",2975,2835,665,1138,740,214,69,9,,,140,3605
"De 25 a 29 años (004)",2878,2763,296,596,790,615,408,54,4,,115,6131
"De 30 a 34 años (005)",2623,2583,136,292,468,544,836,257,45,5,40,8582
"De 35 a 39 años (006)",2482,2456,74,181,313,416,811,481,145,35,26,10359
"De 40 a 44 años (007)",2157,2146,75,97,165,229,560,551,341,128,11,11428
"De 45 a 49 años (008)",1773,1762,58,77,113,162,399,435,316,202,11,10306
"De 50 y más años (009)",5478,5413,328,261,333,376,1073,1095,937,1010,65,33290
"PEA (010)",7563,7370,1308,1261,1074,866,1328,802,428,303,193,24027
"De 12 a 14 años (011)",194,190,186,3,1,,,,,,4,5
"De 15 a 19 años (012)",740,719,495,198,23,2,1,,,,21,254
"De 20 a 24 años (013)",966,915,246,395,209,47,14,4,,,51,1040
"De 25 a 29 años (014)",1016,953,162,263,242,189,82,13,2,,63,1758
"De 30 a 34 años (015)",932,912,67,157,199,185,237,57,9,1,20,2591
"De 35 a 39 años (016)",934,922,32,93,155,167,304,131,28,12,12,3452
"De 40 a 44 años (017)",776,770,29,55,79,107,214,171,89,26,6,3601
"De 45 a 49 años (018)",646,642,21,30,64,83,162,149,87,46,4,3332
"De 50 y más años (019)",1359,1347,70,67,102,86,314,277,213,218,12,7994
"Ocupada (020)",7212,7034,1179,1208,1033,840,1279,783,417,295,178,23291
"De 12 a 14 años (021)",177,174,170,3,1,,,,,,3,5
