"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LAmás (000)",26661,25867,6759,3545,3664,2804,3947,2350,1525,1273,794,79317
"De 12 a 14 años (001)",2833,2799,2763,32,4,,,,,,34,40
"De 15 a 19 años (002)",3862,3709,2705,809,166,22,7,,,,153,1235
"De 20 a 24 años (003)",3220,2991,652,1186,821,257,67,8,,,229,3933
"De 25 a 29 años (004)",2818,2692,198,638,924,562,321,47,2,,126,5839
"De 30 a 34 años (005)",2568,2498,93,334,680,603,630,135,16,7,70,7305
"De 35 a 39 años (006)",2386,2347,56,160,428,493,781,314,94,21,39,8960
"De 40 a 44 años (007)",1995,1962,76,105,240,312,663,375,146,45,33,8605
"De 45 a 49 años (008)",1599,1578,45,75,152,206,462,336,193,109,21,8102
"De 50 y más años (009)",5380,5291,171,206,249,349,1016,1135,1074,1091,89,35298
"PEA (010)",9030,8661,1650,1312,1421,1101,1542,799,476,360,369,27509
"De 12 a 14 años (011)",344,338,329,8,1,,,,,,6,10
"De 15 a 19 años (012)",1026,973,716,207,38,8,4,,,,53,323
"De 20 a 24 años (013)",1124,996,270,398,239,71,16,2,,,128,1171
"De 25 a 29 años (014)",1021,952,121,242,324,169,84,11,1,,69,1831
"De 30 a 34 años (015)",1011,973,55,167,279,213,211,38,9,1,38,2606
"De 35 a 39 años (016)",1055,1037,27,97,223,220,341,101,25,3,18,3580
"De 40 a 44 años (017)",876,859,38,57,134,157,298,132,32,11,17,3357
"De 45 a 49 años (018)",744,732,28,41,89,111,218,132,75,38,12,3437
"De 50 y más años (019)",1829,1801,66,95,94,152,370,383,334,307,28,11194
"Ocupada (020)",8845,8492,1557,1284,1405,1093,1528,794,475,356,353,27278
"De 12 a 14 años (021)",323,317,309,7,1,,,,,,6,9
