"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia REQUENA (000)",33819,25561,8258
"De 3 a 5 años (001)",5808,222,5586
"De 6 a 11 años (002)",9972,7517,2455
"De 12 a 16 años (003)",9031,8924,107
"De 17 a 24 años (004)",9008,8898,110
"Hombres (005)",17339,13105,4234
"De 3 a 5 años (006)",2952,99,2853
"De 6 a 11 años (007)",5107,3836,1271
"De 12 a 16 años (008)",4772,4707,65
"De 17 a 24 años (009)",4508,4463,45
"Mujeres (010)",16480,12456,4024
"De 3 a 5 años (011)",2856,123,2733
"De 6 a 11 años (012)",4865,3681,1184
"De 12 a 16 años (013)",4259,4217,42
"De 17 a 24 años (014)",4500,4435,65
,,,
"URBANA (015)",19424,15468,3956
"De 3 a 5 años (016)",3040,164,2876
"De 6 a 11 años (017)",5445,4454,991
"De 12 a 16 años (018)",5579,5537,42
"De 17 a 24 años (019)",5360,5313,47
"Hombres (020)",9948,7919,2029
"De 3 a 5 años (021)",1540,73,1467
"De 6 a 11 años (022)",2799,2281,518
"De 12 a 16 años (023)",2930,2905,25
"De 17 a 24 años (024)",2679,2660,19
"Mujeres (025)",9476,7549,1927
"De 3 a 5 años (026)",1500,91,1409
"De 6 a 11 años (027)",2646,2173,473
"De 12 a 16 años (028)",2649,2632,17
"De 17 a 24 años (029)",2681,2653,28
,,,
"RURAL (030)",14395,10093,4302
"De 3 a 5 años (031)",2768,58,2710
"De 6 a 11 años (032)",4527,3063,1464
"De 12 a 16 años (033)",3452,3387,65
"De 17 a 24 años (034)",3648,3585,63
"Hombres (035)",7391,5186,2205
"De 3 a 5 años (036)",1412,26,1386
"De 6 a 11 años (037)",2308,1555,753
"De 12 a 16 años (038)",1842,1802,40
"De 17 a 24 años (039)",1829,1803,26
"Mujeres (040)",7004,4907,2097
"De 3 a 5 años (041)",1356,32,1324
"De 6 a 11 años (042)",2219,1508,711
"De 12 a 16 años (043)",1610,1585,25
"De 17 a 24 años (044)",1819,1782,37
