"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia LUYA (000)",44999,7016,1448,25411,8863,481,1013,278,489
"Quechua (001)",34,13,1,15,2,1,2,,
"Aymara (002)",6,4,,1,1,,,,
"Otra lengua nativa (004)",6,,,2,2,1,1,,
"Castellano (005)",44671,6756,1445,25367,8853,479,1009,278,484
"Idioma extranjero (006)",8,,,1,1,,1,,5
"Es sordomudo/a (007)",274,243,2,25,4,,,,
"Hombres (009)",23232,2723,717,13513,5059,271,484,185,280
"Quechua (010)",16,3,,11,1,,1,,
"Aymara (011)",3,2,,,1,,,,
"Otra lengua nativa (013)",2,,,,1,,1,,
"Castellano (014)",23089,2617,716,13485,5054,271,482,185,279
"Idioma extranjero (015)",2,,,1,,,,,1
"Es sordomudo/a (016)",120,101,1,16,2,,,,
"Mujeres (018)",21767,4293,731,11898,3804,210,529,93,209
"Quechua (019)",18,10,1,4,1,1,1,,
"Aymara (020)",3,2,,1,,,,,
"Otra lengua nativa (022)",4,,,2,1,1,,,
"Castellano (023)",21582,4139,729,11882,3799,208,527,93,205
"Idioma extranjero (024)",6,,,,1,,1,,4
"Es sordomudo/a (025)",154,142,1,9,2,,,,
,,,,,,,,,
"URBANA (027)",18372,2473,614,8988,4636,371,714,178,398
"Quechua (028)",25,10,,12,2,,1,,
"Aymara (029)",1,,,1,,,,,
"Otra lengua nativa (031)",5,,,1,2,1,1,,
"Castellano (032)",18278,2415,613,8967,4631,370,711,178,393
"Idioma extranjero (033)",8,,,1,1,,1,,5
"Es sordomudo/a (034)",55,48,1,6,,,,,
"Hombres (036)",9087,861,287,4525,2553,203,322,110,226
"Quechua (037)",11,2,,8,1,,,,
"Otra lengua nativa (040)",2,,,,1,,1,,
"Castellano (041)",9050,842,287,4511,2551,203,321,110,225
"Idioma extranjero (042)",2,,,1,,,,,1
"Es sordomudo/a (043)",22,17,,5,,,,,
"Mujeres (045)",9285,1612,327,4463,2083,168,392,68,172
"Quechua (046)",14,8,,4,1,,1,,
"Aymara (047)",1,,,1,,,,,
"Otra lengua nativa (049)",3,,,1,1,1,,,
"Castellano (050)",9228,1573,326,4456,2080,167,390,68,168
"Idioma extranjero (051)",6,,,,1,,1,,4
"Es sordomudo/a (052)",33,31,1,1,,,,,
,,,,,,,,,
"RURAL (054)",26627,4543,834,16423,4227,110,299,100,91
"Quechua (055)",9,3,1,3,,1,1,,
"Aymara (056)",5,4,,,1,,,,
"Otra lengua nativa (058)",1,,,1,,,,,
"Castellano (059)",26393,4341,832,16400,4222,109,298,100,91
"Es sordomudo/a (061)",219,195,1,19,4,,,,
"Hombres (063)",14145,1862,430,8988,2506,68,162,75,54
"Quechua (064)",5,1,,3,,,1,,
"Aymara (065)",3,2,,,1,,,,
"Castellano (068)",14039,1775,429,8974,2503,68,161,75,54
"Es sordomudo/a (070)",98,84,1,11,2,,,,
"Mujeres (072)",12482,2681,404,7435,1721,42,137,25,37
"Quechua (073)",4,2,1,,,1,,,
"Aymara (074)",2,2,,,,,,,
"Otra lengua nativa (076)",1,,,1,,,,,
"Castellano (077)",12354,2566,403,7426,1719,41,137,25,37
"Es sordomudo/a (079)",121,111,,8,2,,,,
