"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia MELGAR",,,,,,
"Viviendas particulares (001)",19992,19517,420,52,3,
"Ocupantes presentes (002)",73335,69629,3102,563,41,
"Casa independiente",,,,,,
"Viviendas particulares (004)",15613,15164,397,50,2,
"Ocupantes presentes (005)",57603,54118,2915,543,27,
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",2,2,,,,
"Ocupantes presentes (008)",7,7,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",12,12,,,,
"Ocupantes presentes (011)",39,39,,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",924,915,8,1,,
"Ocupantes presentes (014)",2856,2781,63,12,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",3408,3391,15,1,1,
"Ocupantes presentes (017)",12721,12575,124,8,14,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",4,4,,,,
"Ocupantes presentes (020)",21,21,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",22,22,,,,
"Ocupantes presentes (023)",69,69,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",7,7,,,,
"Ocupantes presentes (026)",19,19,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",9531,9169,323,38,1,
"Ocupantes presentes (029)",34840,32090,2329,410,11,
"Casa independiente",,,,,,
"Viviendas particulares (031)",8570,8217,315,37,1,
"Ocupantes presentes (032)",31858,29183,2266,398,11,
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",2,2,,,,
"Ocupantes presentes (035)",7,7,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",12,12,,,,
"Ocupantes presentes (038)",39,39,,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",924,915,8,1,,
"Ocupantes presentes (041)",2856,2781,63,12,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",4,4,,,,
"Ocupantes presentes (047)",21,21,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",17,17,,,,
"Ocupantes presentes (050)",52,52,,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",2,2,,,,
"Ocupantes presentes (053)",7,7,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",10461,10348,97,14,2,
"Ocupantes presentes (056)",38495,37539,773,153,30,
"Casa independiente",,,,,,
"Viviendas particulares (058)",7043,6947,82,13,1,
"Ocupantes presentes (059)",25745,24935,649,145,16,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",3408,3391,15,1,1,
"Ocupantes presentes (071)",12721,12575,124,8,14,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",5,5,,,,
"Ocupantes presentes (077)",17,17,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",5,5,,,,
"Ocupantes presentes (080)",12,12,,,,
