"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia BAGUA (000)",774,244,530
"Sin nivel (001)",33,11,22
"Educación inicial (002)",1,,1
"Primaria (003)",274,93,181
"Secundaria (004)",321,100,221
"Superior no univ. incompleta (005)",35,14,21
"Superior no univ. completa (006)",75,17,58
"Superior univ. incompleta (007)",11,4,7
"Superior univ. completa (008)",24,5,19
"Hombres (010)",574,171,403
"Sin nivel (011)",19,8,11
"Educación inicial (012)",1,,1
"Primaria (013)",216,65,151
"Secundaria (014)",248,70,178
"Superior no univ. incompleta (015)",26,9,17
"Superior no univ. completa (016)",38,12,26
"Superior univ. incompleta (017)",7,2,5
"Superior univ. completa (018)",19,5,14
"Mujeres (020)",200,73,127
"Sin nivel (021)",14,3,11
"Primaria (023)",58,28,30
"Secundaria (024)",73,30,43
"Superior no univ. incompleta (025)",9,5,4
"Superior no univ. completa (026)",37,5,32
"Superior univ. incompleta (027)",4,2,2
"Superior univ. completa (028)",5,,5
,,,
"AREA URBANA (030)",512,119,393
"Sin nivel (031)",16,3,13
"Educación inicial (032)",1,,1
"Primaria (033)",130,18,112
"Secundaria (034)",233,64,169
"Superior no univ. incompleta (035)",35,14,21
"Superior no univ. completa (036)",67,13,54
"Superior univ. incompleta (037)",11,4,7
"Superior univ. completa (038)",19,3,16
"Hombres (040)",359,74,285
"Sin nivel (041)",7,2,5
"Educación inicial (042)",1,,1
"Primaria (043)",102,9,93
"Secundaria (044)",172,41,131
"Superior no univ. incompleta (045)",26,9,17
"Superior no univ. completa (046)",30,8,22
"Superior univ. incompleta (047)",7,2,5
"Superior univ. completa (048)",14,3,11
"Mujeres (050)",153,45,108
"Sin nivel (051)",9,1,8
"Primaria (053)",28,9,19
"Secundaria (054)",61,23,38
"Superior no univ. incompleta (055)",9,5,4
"Superior no univ. completa (056)",37,5,32
"Superior univ. incompleta (057)",4,2,2
"Superior univ. completa (058)",5,,5
,,,
"AREA RURAL (060)",262,125,137
"Sin nivel (061)",17,8,9
"Primaria (063)",144,75,69
"Secundaria (064)",88,36,52
"Superior no univ. completa (066)",8,4,4
"Superior univ. completa (068)",5,2,3
"Hombres (070)",215,97,118
"Sin nivel (071)",12,6,6
"Primaria (073)",114,56,58
"Secundaria (074)",76,29,47
"Superior no univ. completa (076)",8,4,4
"Superior univ. completa (078)",5,2,3
"Mujeres (080)",47,28,19
"Sin nivel (081)",5,2,3
"Primaria (083)",30,19,11
"Secundaria (084)",12,7,5
