"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CALCA (000)",23422,22377,6496,2735,2771,2369,3701,2357,1284,664,1045,65085
"De 12 a 14 años (001)",2621,2597,2584,11,2,,,,,,24,15
"De 15 a 19 años (002)",3027,2946,2637,264,37,7,1,,,,81,363
"De 20 a 24 años (003)",2535,2147,669,887,422,110,45,14,,,388,2335
"De 25 a 29 años (004)",2267,2013,124,606,598,382,278,24,1,,254,4270
"De 30 a 34 años (005)",2200,2094,69,340,537,436,566,126,17,3,106,6170
"De 35 a 39 años (006)",2083,2034,49,179,404,450,594,262,86,10,49,7457
"De 40 a 44 años (007)",1846,1812,45,95,239,313,573,347,149,51,34,8107
"De 45 a 49 años (008)",1552,1536,52,69,151,209,420,359,181,95,16,7751
"De 50 y más años (009)",5291,5198,267,284,381,462,1224,1225,850,505,93,28617
"PEA (010)",6738,6278,1065,1121,1064,826,1083,603,336,180,460,19193
"De 12 a 14 años (011)",136,135,135,,,,,,,,1,
"De 15 a 19 años (012)",544,528,448,72,6,1,1,,,,16,91
"De 20 a 24 años (013)",857,699,235,318,111,24,7,4,,,158,665
"De 25 a 29 años (014)",847,711,69,270,203,102,62,5,,,136,1271
"De 30 a 34 años (015)",805,735,44,177,229,135,123,26,1,,70,1741
"De 35 a 39 años (016)",786,754,27,99,189,182,166,63,24,4,32,2395
"De 40 a 44 años (017)",700,681,20,51,119,148,201,102,28,12,19,2648
"De 45 a 49 años (018)",599,591,27,32,80,97,160,109,59,27,8,2684
"De 50 y más años (019)",1464,1444,60,102,127,137,363,294,224,137,20,7698
"Ocupada (020)",6584,6143,1011,1096,1038,817,1074,595,334,178,441,18962
"De 12 a 14 años (021)",131,130,130,,,,,,,,1,
