"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CANGALLO (000)",9924,245,2987,3369,2427,896
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",25,,6,13,6,
"Profes., científicos e intelectuales (002)",606,,111,344,147,4
"Técnicos de nivel medio y trab.asimilados (003)",136,,49,54,31,2
"Jefes y empleados de oficina (004)",140,,55,58,27,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",517,2,152,202,115,46
"Agricult.trabaj. calif. agrop. y pesqueros (006)",4166,22,940,1398,1224,582
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",204,1,77,68,45,13
"Obreros construc., conf., papel, fab., instr. (008)",244,,96,90,50,8
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",2971,208,1169,835,596,163
"Otra (010)",30,,13,14,3,
"Ocupación no especificada (011)",470,5,127,159,124,55
"Desocupado (012)",415,7,192,134,59,23
"Hombres (013)",6477,141,1906,2227,1602,601
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",18,,4,9,5,
"Profes., científicos e intelectuales (015)",359,,52,206,97,4
"Técnicos de nivel medio y trab.asimilados (016)",78,,30,27,19,2
"Jefes y empleados de oficina (017)",103,,42,40,21,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",179,1,57,65,38,18
"Agricult.trabaj. calif. agrop. y pesqueros (019)",3269,16,701,1128,977,447
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",182,1,67,62,41,11
"Obreros construc., conf., papel, fab., instr. (021)",237,,93,88,48,8
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",1470,114,653,383,251,69
"Otra (023)",29,,13,13,3,
"Ocupación no especificada (024)",203,5,45,86,48,19
"Desocupado (025)",350,4,149,120,54,23
"Mujeres (026)",3447,104,1081,1142,825,295
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",7,,2,4,1,
"Profes., científicos e intelectuales (028)",247,,59,138,50,
"Técnicos de nivel medio y trab.asimilados (029)",58,,19,27,12,
"Jefes y empleados de oficina (030)",37,,13,18,6,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",338,1,95,137,77,28
"Agricult.trabaj. calif. agrop. y pesqueros (032)",897,6,239,270,247,135
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",22,,10,6,4,2
"Obreros construc., conf., papel, fab., instr. (034)",7,,3,2,2,
