"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia HUARAZ (000)",58335,133603,121597,,2361,91,1.8
"De 12 a 14 años (001)",4604,10,8,,1,80,10
"De 15 a 19 años (002)",7070,625,614,209,98.2,33.4,
"De 20 a 24 años (003)",7176,3971,3917,572,98.6,14.4,
"De 25 a 29 años (004)",6607,7606,7422,599,97.6,7.9,
"De 30 a 34 años (005)",5957,11173,10889,503,97.5,4.5,
"De 35 a 39 años (006)",5187,13391,12960,321,96.8,2.4,
"De 40 a 44 años (007)",4361,13605,12970,132,95.3,1,
"De 45 a 49 años (008)",3671,13758,12913,24,93.9,0.2,
"De 50 y más años (009)",13702,69464,59904,,86.2,,
"PEA (010)",19596,39682,37359,616,94.1,1.6,
"De 12 a 14 años (011)",149,1,1,,100,,
"De 15 a 19 años (012)",1312,134,132,43,98.5,32.1,
"De 20 a 24 años (013)",2513,1009,996,101,98.7,10,
"De 25 a 29 años (014)",3066,2441,2379,158,97.5,6.5,
"De 30 a 34 años (015)",2782,4037,3935,157,97.5,3.9,
"De 35 a 39 años (016)",2427,5217,5113,114,98,2.2,
"De 40 a 44 años (017)",2103,5656,5450,42,96.4,0.7,
"De 45 a 49 años (018)",1721,5475,5234,1,95.6,,
"De 50 y más años (019)",3523,15712,14119,,89.9,,
"Ocupada (020)",18466,38452,36165,558,94.1,1.5,
"De 12 a 14 años (021)",142,1,1,,100,,
"De 15 a 19 años (022)",1153,119,117,37,98.3,31.1,
"De 20 a 24 años (023)",2246,917,904,88,98.6,9.6,
"De 25 a 29 años (024)",2795,2251,2190,143,97.3,6.4,
"De 30 a 34 años (025)",2609,3817,3723,143,97.5,3.7,
"De 35 a 39 años (026)",2335,5021,4926,105,98.1,2.1,
"De 40 a 44 años (027)",2044,5498,5293,41,96.3,0.7,
"De 45 a 49 años (028)",1685,5366,5129,1,95.6,,
"De 50 y más años (029)",3457,15462,13882,,89.8,,
"Desocupada (030)",1130,1230,1194,58,97.1,4.7,
"De 12 a 14 años (031)",7,,,,,,
"De 15 a 19 años (032)",159,15,15,6,100,40,
"De 20 a 24 años (033)",267,92,92,13,100,14.1,
"De 25 a 29 años (034)",271,190,189,15,99.5,7.9,
"De 30 a 34 años (035)",173,220,212,14,96.4,6.4,
