"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia PARINACOCHAS (000)",9855,2022,1800,4450,98,1305,180
"Sin nivel (001)",1120,12,181,588,12,316,11
"Educación inicial (002)",13,1,3,7,,2,
"Primaria (003)",2707,55,502,1581,29,486,54
"Secundaria (004)",3139,309,769,1557,26,380,98
"Superior no univ. incompleta (005)",558,138,119,238,7,49,7
"Superior no univ. completa (006)",1462,922,152,312,12,55,9
"Superior univ. incompleta (007)",234,103,33,85,4,8,1
"Superior univ. completa (008)",622,482,41,82,8,9,
"Hombres (010)",6695,1186,1576,3184,73,657,19
"Sin nivel (011)",498,4,110,282,8,93,1
"Educación inicial (012)",5,,3,1,,1,
"Primaria (013)",1939,32,442,1183,21,255,6
"Secundaria (014)",2387,208,695,1203,19,252,10
"Superior no univ. incompleta (015)",400,86,110,173,6,24,1
"Superior no univ. completa (016)",856,474,146,203,8,24,1
"Superior univ. incompleta (017)",182,67,32,75,4,4,
"Superior univ. completa (018)",428,315,38,64,7,4,
"Mujeres (020)",3160,836,224,1266,25,648,161
"Sin nivel (021)",622,8,71,306,4,223,10
"Educación inicial (022)",8,1,,6,,1,
"Primaria (023)",768,23,60,398,8,231,48
"Secundaria (024)",752,101,74,354,7,128,88
"Superior no univ. incompleta (025)",158,52,9,65,1,25,6
"Superior no univ. completa (026)",606,448,6,109,4,31,8
"Superior univ. incompleta (027)",52,36,1,10,,4,1
"Superior univ. completa (028)",194,167,3,18,1,5,
,,,,,,,
"URBANA (030)",5964,1709,982,2583,50,485,155
"Sin nivel (031)",314,4,57,185,3,55,10
"Educación inicial (032)",5,,2,3,,,
"Primaria (033)",1362,42,304,788,14,170,44
"Secundaria (034)",2101,253,481,1083,13,187,84
"Superior no univ. incompleta (035)",376,114,59,160,5,31,7
"Superior no univ. completa (036)",1171,813,55,254,8,32,9
"Superior univ. incompleta (037)",153,80,14,50,3,5,1
"Superior univ. completa (038)",482,403,10,60,4,5,
"Hombres (040)",3857,967,853,1772,28,222,15
"Sin nivel (041)",113,3,25,70,1,13,1
"Educación inicial (042)",3,,2,1,,,
"Primaria (043)",915,25,272,538,6,71,3
"Secundaria (044)",1536,163,429,820,7,108,9
"Superior no univ. incompleta (045)",236,67,53,101,4,10,1
"Superior no univ. completa (046)",624,400,50,154,4,15,1
"Superior univ. incompleta (047)",114,51,14,43,3,3,
"Superior univ. completa (048)",316,258,8,45,3,2,
"Mujeres (050)",2107,742,129,811,22,263,140
"Sin nivel (051)",201,1,32,115,2,42,9
"Educación inicial (052)",2,,,2,,,
"Primaria (053)",447,17,32,250,8,99,41
"Secundaria (054)",565,90,52,263,6,79,75
"Superior no univ. incompleta (055)",140,47,6,59,1,21,6
"Superior no univ. completa (056)",547,413,5,100,4,17,8
"Superior univ. incompleta (057)",39,29,,7,,2,1
"Superior univ. completa (058)",166,145,2,15,1,3,
,,,,,,,
"RURAL (060)",3891,313,818,1867,48,820,25
"Sin nivel (061)",806,8,124,403,9,261,1
"Educación inicial (062)",8,1,1,4,,2,
"Primaria (063)",1345,13,198,793,15,316,10
"Secundaria (064)",1038,56,288,474,13,193,14
"Superior no univ. incompleta (065)",182,24,60,78,2,18,
"Superior no univ. completa (066)",291,109,97,58,4,23,
"Superior univ. incompleta (067)",81,23,19,35,1,3,
"Superior univ. completa (068)",140,79,31,22,4,4,
"Hombres (070)",2838,219,723,1412,45,435,4
"Sin nivel (071)",385,1,85,212,7,80,
"Educación inicial (072)",2,,1,,,1,
"Primaria (073)",1024,7,170,645,15,184,3
"Secundaria (074)",851,45,266,383,12,144,1
"Superior no univ. incompleta (075)",164,19,57,72,2,14,
"Superior no univ. completa (076)",232,74,96,49,4,9,
"Superior univ. incompleta (077)",68,16,18,32,1,1,
"Superior univ. completa (078)",112,57,30,19,4,2,
"Mujeres (080)",1053,94,95,455,3,385,21
"Sin nivel (081)",421,7,39,191,2,181,1
"Educación inicial (082)",6,1,,4,,1,
"Primaria (083)",321,6,28,148,,132,7
"Secundaria (084)",187,11,22,91,1,49,13
"Superior no univ. incompleta (085)",18,5,3,6,,4,
"Superior no univ. completa (086)",59,35,1,9,,14,
"Superior univ. incompleta (087)",13,7,1,3,,2,
"Superior univ. completa (088)",28,22,1,3,,2,
