"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia TUMBES (000)",39948,415,13492,12059,4688,1821,739,209,24,,6501
"Conviviente (001)",13870,197,5567,4281,1335,517,208,62,4,,1699
"Separado(a) (002)",3105,41,1237,980,342,149,70,14,1,,271
"Casado(a) (003)",16010,116,5300,5607,2489,932,346,83,9,,1128
"Viudo(a) (004)",2161,37,871,628,253,96,63,28,8,,177
"Divorciado(a) (005)",207,5,62,58,26,11,6,4,,,35
"Soltero(a) (006)",4595,19,455,505,243,116,46,18,2,,3191
,,,,,,,,,,,
"URBANA (008)",36868,388,12373,11067,4362,1708,697,200,23,,6050
"Conviviente (009)",12921,185,5192,3973,1237,486,194,59,4,,1591
"Separado(a) (010)",2924,39,1174,905,331,137,65,12,1,,260
"Casado(a) (011)",14553,107,4720,5071,2306,877,326,82,8,,1056
"Viudo(a) (012)",1998,33,791,587,235,86,62,27,8,,169
"Divorciado(a) (013)",202,5,61,57,25,11,6,4,,,33
"Soltero(a) (014)",4270,19,435,474,228,111,44,16,2,,2941
,,,,,,,,,,,
"RURAL (016)",3080,27,1119,992,326,113,42,9,1,,451
"Conviviente (017)",949,12,375,308,98,31,14,3,,,108
"Separado(a) (018)",181,2,63,75,11,12,5,2,,,11
"Casado(a) (019)",1457,9,580,536,183,55,20,1,1,,72
"Viudo(a) (020)",163,4,80,41,18,10,1,1,,,8
"Divorciado(a) (021)",5,,1,1,1,,,,,,2
"Soltero(a) (022)",325,,20,31,15,5,2,2,,,250
