"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CHINCHA (000)",193285,4046,54562,52838,39616,29664,12559
"Jefe o Jefa (001)",48827,,28,7628,17246,16470,7455
"Esposa(o) / compañera(o) (002)",32095,,36,7454,12656,9417,2532
"Hijo(a) / hijastro(a) (003)",82666,2701,43254,28890,6345,1452,24
"Yerno / nuera (004)",3833,,36,2425,1170,198,4
"Nieto(a) (005)",11737,1077,8449,2069,137,5,
"Padres / suegros (006)",2417,,,,50,639,1728
"Otro(a) pariente (007)",9482,249,2557,3375,1480,1149,672
"Trabajador(a) del hogar (008)",223,,10,121,52,30,10
"Pensionistas (009)",191,,4,75,48,32,32
"Otro(a) no pariente (010)",1814,19,188,801,432,272,102
"Hombres (011)",95160,2092,27809,26224,18856,14071,6108
"Jefe o Jefa (012)",35538,,18,5808,12990,11720,5002
"Esposa(o) / compañera(o) (013)",2286,,25,603,824,624,210
"Hijo(a) / hijastro(a) (014)",42476,1389,22039,15287,3082,672,7
"Yerno / nuera (015)",2041,,15,1105,777,140,4
"Nieto(a) (016)",6089,576,4328,1115,68,2,
"Padres / suegros (017)",757,,,,14,173,570
"Otro(a) pariente (018)",4898,117,1277,1858,829,561,256
"Trabajador(a) del hogar (019)",91,,5,44,29,10,3
"Pensionistas (020)",122,,1,50,32,25,14
"Otro(a) no pariente (021)",862,10,101,354,211,144,42
"Mujeres (022)",98125,1954,26753,26614,20760,15593,6451
"Jefe o Jefa (023)",13289,,10,1820,4256,4750,2453
"Esposa(o) / compañera(o) (024)",29809,,11,6851,11832,8793,2322
"Hijo(a) / hijastro(a) (025)",40190,1312,21215,13603,3263,780,17
"Yerno / nuera (026)",1792,,21,1320,393,58,
"Nieto(a) (027)",5648,501,4121,954,69,3,
"Padres / suegros (028)",1660,,,,36,466,1158
"Otro(a) pariente (029)",4584,132,1280,1517,651,588,416
"Trabajador(a) del hogar (030)",132,,5,77,23,20,7
"Pensionistas (031)",69,,3,25,16,7,18
"Otro(a) no pariente (032)",952,9,87,447,221,128,60
,,,,,,,
"URBANA (033)",171705,3577,48526,46976,35426,26261,10939
"Jefe o Jefa (034)",43161,,22,6731,15456,14541,6411
"Esposa(o) / compañera(o) (035)",28332,,32,6494,11329,8310,2167
"Hijo(a) / hijastro(a) (036)",73399,2374,38397,25725,5612,1269,22
"Yerno / nuera (037)",3447,,32,2183,1049,180,3
"Nieto(a) (038)",10548,967,7625,1835,116,5,
"Padres / suegros (039)",2234,,,,49,601,1584
"Otro(a) pariente (040)",8511,217,2235,3079,1324,1039,617
"Trabajador(a) del hogar (041)",196,,9,102,47,30,8
"Pensionistas (042)",179,,4,68,45,31,31
"Otro(a) no pariente (043)",1698,19,170,759,399,255,96
"Hombres (044)",84265,1857,24746,23281,16748,12363,5270
"Jefe o Jefa (045)",31197,,15,5114,11544,10252,4272
"Esposa(o) / compañera(o) (046)",2049,,25,530,745,561,188
"Hijo(a) / hijastro(a) (047)",37687,1232,19587,13571,2706,586,5
"Yerno / nuera (048)",1829,,12,994,695,125,3
"Nieto(a) (049)",5453,510,3901,981,59,2,
"Padres / suegros (050)",691,,,,14,163,514
"Otro(a) pariente (051)",4371,105,1109,1680,741,504,232
"Trabajador(a) del hogar (052)",78,,4,38,24,10,2
"Pensionistas (053)",112,,1,44,29,24,14
"Otro(a) no pariente (054)",798,10,92,329,191,136,40
"Mujeres (055)",87440,1720,23780,23695,18678,13898,5669
"Jefe o Jefa (056)",11964,,7,1617,3912,4289,2139
"Esposa(o) / compañera(o) (057)",26283,,7,5964,10584,7749,1979
"Hijo(a) / hijastro(a) (058)",35712,1142,18810,12154,2906,683,17
"Yerno / nuera (059)",1618,,20,1189,354,55,
"Nieto(a) (060)",5095,457,3724,854,57,3,
"Padres / suegros (061)",1543,,,,35,438,1070
"Otro(a) pariente (062)",4140,112,1126,1399,583,535,385
"Trabajador(a) del hogar (063)",118,,5,64,23,20,6
"Pensionistas (064)",67,,3,24,16,7,17
"Otro(a) no pariente (065)",900,9,78,430,208,119,56
,,,,,,,
"RURAL (066)",21580,469,6036,5862,4190,3403,1620
"Jefe o Jefa (067)",5666,,6,897,1790,1929,1044
"Esposa(o) / compañera(o) (068)",3763,,4,960,1327,1107,365
"Hijo(a) / hijastro(a) (069)",9267,327,4857,3165,733,183,2
"Yerno / nuera (070)",386,,4,242,121,18,1
"Nieto(a) (071)",1189,110,824,234,21,,
"Padres / suegros (072)",183,,,,1,38,144
"Otro(a) pariente (073)",971,32,322,296,156,110,55
"Trabajador(a) del hogar (074)",27,,1,19,5,,2
"Pensionistas (075)",12,,,7,3,1,1
"Otro(a) no pariente (076)",116,,18,42,33,17,6
"Hombres (077)",10895,235,3063,2943,2108,1708,838
"Jefe o Jefa (078)",4341,,3,694,1446,1468,730
"Esposa(o) / compañera(o) (079)",237,,,73,79,63,22
"Hijo(a) / hijastro(a) (080)",4789,157,2452,1716,376,86,2
"Yerno / nuera (081)",212,,3,111,82,15,1
"Nieto(a) (082)",636,66,427,134,9,,
"Padres / suegros (083)",66,,,,,10,56
"Otro(a) pariente (084)",527,12,168,178,88,57,24
"Trabajador(a) del hogar (085)",13,,1,6,5,,1
"Pensionistas (086)",10,,,6,3,1,
"Otro(a) no pariente (087)",64,,9,25,20,8,2
"Mujeres (088)",10685,234,2973,2919,2082,1695,782
"Jefe o Jefa (089)",1325,,3,203,344,461,314
"Esposa(o) / compañera(o) (090)",3526,,4,887,1248,1044,343
"Hijo(a) / hijastro(a) (091)",4478,170,2405,1449,357,97,
"Yerno / nuera (092)",174,,1,131,39,3,
"Nieto(a) (093)",553,44,397,100,12,,
