"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia VICTOR FAJARDO (000)",9891,9707,2482,992,1031,922,1601,1186,1493,184
"Católica (001)",8655,8494,2183,881,924,803,1387,1024,1292,161
"Cristiana/Evangélica (002)",1067,1049,242,89,94,104,190,150,180,18
"Otra (003)",101,99,25,15,9,10,13,10,17,2
"Ninguna (004)",68,65,32,7,4,5,11,2,4,3
,,,,,,,,,,
"URBANA (006)",7345,7183,1909,754,794,709,1190,856,971,162
"Católica (007)",6556,6413,1712,684,728,628,1054,749,858,143
"Cristiana/Evangélica (008)",686,671,155,58,59,76,118,103,102,15
"Otra (009)",50,49,15,10,3,2,9,2,8,1
"Ninguna (010)",53,50,27,2,4,3,9,2,3,3
,,,,,,,,,,
"RURAL (012)",2546,2524,573,238,237,213,411,330,522,22
"Católica (013)",2099,2081,471,197,196,175,333,275,434,18
"Cristiana/Evangélica (014)",381,378,87,31,35,28,72,47,78,3
"Otra (015)",51,50,10,5,6,8,4,8,9,1
"Ninguna (016)",15,15,5,5,,2,2,,1,
