"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia BAGUA (000)",24147,23340,7041,3225,3014,2428,3353,2035,1290,954,807,66104
"De 12 a 14 años (001)",2728,2699,2680,16,3,,,,,,29,22
"De 15 a 19 años (002)",3533,3449,2722,567,134,18,8,,,,84,921
"De 20 a 24 años (003)",3078,2773,806,1013,613,245,85,11,,,305,3410
"De 25 a 29 años (004)",2828,2668,313,677,684,481,432,68,13,,160,5890
"De 30 a 34 años (005)",2358,2274,162,386,545,431,508,184,46,12,84,6658
"De 35 a 39 años (006)",2362,2314,106,214,427,459,605,336,124,43,48,8745
"De 40 a 44 años (007)",1854,1825,68,133,239,318,553,280,153,81,29,7993
"De 45 a 49 años (008)",1499,1486,48,69,172,211,413,288,173,112,13,7455
"De 50 y más años (009)",3907,3852,136,150,197,265,749,868,781,706,55,25010
"PEA (010)",6761,6444,1384,1090,1003,865,1051,554,311,186,317,18576
"De 12 a 14 años (011)",164,163,158,5,,,,,,,1,5
"De 15 a 19 años (012)",714,694,512,138,34,8,2,,,,20,238
"De 20 a 24 años (013)",928,820,287,265,171,65,29,3,,,108,948
"De 25 a 29 años (014)",947,865,160,241,156,143,132,29,4,,82,1775
"De 30 a 34 años (015)",896,843,98,176,200,133,155,61,15,5,53,2214
"De 35 a 39 años (016)",919,895,63,121,173,183,198,96,44,17,24,3038
"De 40 a 44 años (017)",725,714,30,64,115,150,197,97,38,23,11,2825
"De 45 a 49 años (018)",550,544,23,28,87,101,157,77,44,27,6,2374
"De 50 y más años (019)",918,906,53,52,67,82,181,191,166,114,12,5159
"Ocupada (020)",6552,6264,1295,1062,984,846,1038,546,309,184,288,18308
"De 12 a 14 años (021)",148,147,142,5,,,,,,,1,5
