"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia MORROPON (000)",38414,25384,13030
"Red pública dentro de la vivienda (001)",20028,16938,3090
"Red pública fuera de la vivienda (002)",3046,1540,1506
"Pilón de uso público (003)",1867,1017,850
"Camión - cisterna u otro similar (004)",2038,955,1083
"Pozo (005)",5183,2933,2250
"Río, acequia, manatial o similar (006)",3999,904,3095
"Vecino (007)",1577,763,814
"Otro (008)",676,334,342
,,,
"URBANA (010)",22201,18500,3701
"Red pública dentro de la vivienda (011)",15679,14254,1425
"Red pública fuera de la vivienda (012)",1113,881,232
"Pilón de uso público (013)",417,271,146
"Camión - cisterna u otro similar (014)",1407,900,507
"Pozo (015)",1553,1096,457
"Río, acequia, manatial o similar (016)",251,160,91
"Vecino (017)",1236,618,618
"Otro (018)",545,320,225
,,,
"RURAL (020)",16213,6884,9329
"Red pública dentro de la vivienda (021)",4349,2684,1665
"Red pública fuera de la vivienda (022)",1933,659,1274
"Pilón de uso público (023)",1450,746,704
"Camión - cisterna u otro similar (024)",631,55,576
"Pozo (025)",3630,1837,1793
"Río, acequia, manatial o similar (026)",3748,744,3004
"Vecino (027)",341,145,196
"Otro (028)",131,14,117
