"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PIURA (000)",623137,79387,19103,200028,175558,32249,47068,30471,39273
"Quechua (001)",505,35,1,129,158,36,55,30,61
"Aymara (002)",119,23,2,31,26,13,7,7,10
"Ashaninca (003)",44,5,1,15,5,2,2,9,5
"Otra lengua nativa (004)",996,102,25,316,339,47,65,40,62
"Castellano (005)",620804,78880,19047,199423,174957,32143,46920,30366,39068
"Idioma extranjero (006)",120,1,1,5,29,3,11,12,58
"Es sordomudo/a (007)",549,341,26,109,44,5,8,7,9
"Hombres (009)",305995,32274,9719,96556,94694,15771,20352,16287,20342
"Quechua (010)",282,15,1,60,97,19,32,15,43
"Aymara (011)",60,13,1,10,17,5,4,6,4
"Ashaninca (012)",27,2,,8,3,2,,7,5
"Otra lengua nativa (013)",504,41,12,158,184,23,30,26,30
"Castellano (014)",304764,32024,9689,96259,94357,15717,20277,16221,20220
"Idioma extranjero (015)",63,,1,2,12,2,4,7,35
"Es sordomudo/a (016)",295,179,15,59,24,3,5,5,5
"Mujeres (018)",317142,47113,9384,103472,80864,16478,26716,14184,18931
"Quechua (019)",223,20,,69,61,17,23,15,18
"Aymara (020)",59,10,1,21,9,8,3,1,6
"Ashaninca (021)",17,3,1,7,2,,2,2,
"Otra lengua nativa (022)",492,61,13,158,155,24,35,14,32
"Castellano (023)",316040,46856,9358,103164,80600,16426,26643,14145,18848
"Idioma extranjero (024)",57,1,,3,17,1,7,5,23
"Es sordomudo/a (025)",254,162,11,50,20,2,3,2,4
,,,,,,,,,
"URBANA (027)",537135,58986,16856,158797,157281,30763,45842,29965,38645
"Quechua (028)",466,26,1,110,151,35,52,30,61
"Aymara (029)",110,17,1,31,25,12,7,7,10
"Ashaninca (030)",41,5,1,13,5,1,2,9,5
"Otra lengua nativa (031)",877,81,24,253,315,41,63,38,62
"Castellano (032)",535085,58600,16805,158294,156718,30666,45699,29862,38441
"Idioma extranjero (033)",120,1,1,5,29,3,11,12,58
"Es sordomudo/a (034)",436,256,23,91,38,5,8,7,8
"Hombres (036)",260911,23302,8552,75046,83525,14927,19659,15973,19927
"Quechua (037)",267,12,1,52,94,19,31,15,43
"Aymara (038)",55,9,1,10,16,5,4,6,4
"Ashaninca (039)",25,2,,7,3,1,,7,5
"Otra lengua nativa (040)",439,36,11,122,168,19,28,25,30
"Castellano (041)",259830,23110,8524,74805,83212,14878,19587,15908,19806
"Idioma extranjero (042)",63,,1,2,12,2,4,7,35
"Es sordomudo/a (043)",232,133,14,48,20,3,5,5,4
"Mujeres (045)",276224,35684,8304,83751,73756,15836,26183,13992,18718
"Quechua (046)",199,14,,58,57,16,21,15,18
"Aymara (047)",55,8,,21,9,7,3,1,6
"Ashaninca (048)",16,3,1,6,2,,2,2,
"Otra lengua nativa (049)",438,45,13,131,147,22,35,13,32
"Castellano (050)",275255,35490,8281,83489,73506,15788,26112,13954,18635
"Idioma extranjero (051)",57,1,,3,17,1,7,5,23
"Es sordomudo/a (052)",204,123,9,43,18,2,3,2,4
,,,,,,,,,
"RURAL (054)",86002,20401,2247,41231,18277,1486,1226,506,628
"Quechua (055)",39,9,,19,7,1,3,,
"Aymara (056)",9,6,1,,1,1,,,
"Ashaninca (057)",3,,,2,,1,,,
"Otra lengua nativa (058)",119,21,1,63,24,6,2,2,
"Castellano (059)",85719,20280,2242,41129,18239,1477,1221,504,627
"Es sordomudo/a (061)",113,85,3,18,6,,,,1
"Hombres (063)",45084,8972,1167,21510,11169,844,693,314,415
"Quechua (064)",15,3,,8,3,,1,,
"Aymara (065)",5,4,,,1,,,,
"Ashaninca (066)",2,,,1,,1,,,
"Otra lengua nativa (067)",65,5,1,36,16,4,2,1,
"Castellano (068)",44934,8914,1165,21454,11145,839,690,313,414
"Es sordomudo/a (070)",63,46,1,11,4,,,,1
"Mujeres (072)",40918,11429,1080,19721,7108,642,533,192,213
"Quechua (073)",24,6,,11,4,1,2,,
"Aymara (074)",4,2,1,,,1,,,
"Ashaninca (075)",1,,,1,,,,,
"Otra lengua nativa (076)",54,16,,27,8,2,,1,
"Castellano (077)",40785,11366,1077,19675,7094,638,531,191,213
"Es sordomudo/a (079)",50,39,2,7,2,,,,
