"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CHINCHA (000)",193285,4046,54562,52838,39616,29664,12559
"Casa independiente (001)",154453,3118,42905,41932,31965,24264,10269
"Departamento en edificio (002)",1282,28,329,312,308,212,93
"Vivienda en quinta (003)",1062,21,282,282,239,182,56
"Vivienda en casa de vecindad (004)",1379,41,373,392,272,213,88
"Choza o cabaña (005)",3992,89,1190,1076,719,623,295
"Vivienda improvisada (006)",30085,719,9189,8564,5876,4027,1710
"Local no destinado para hab.humana (007)",226,6,51,62,45,51,11
"Otro tipo (008)",806,24,243,218,192,92,37
,,,,,,,
"URBANA (009)",171705,3577,48526,46976,35426,26261,10939
"Casa independiente (010)",136891,2738,38062,37156,28497,21492,8946
"Departamento en edificio (011)",1282,28,329,312,308,212,93
"Vivienda en quinta (012)",1062,21,282,282,239,182,56
"Vivienda en casa de vecindad (013)",1379,41,373,392,272,213,88
"Vivienda improvisada (015)",30085,719,9189,8564,5876,4027,1710
"Local no destinado para hab.humana (016)",215,6,49,56,45,48,11
"Otro tipo (017)",791,24,242,214,189,87,35
,,,,,,,
"RURAL (018)",21580,469,6036,5862,4190,3403,1620
"Casa independiente (019)",17562,380,4843,4776,3468,2772,1323
"Choza o cabaña (023)",3992,89,1190,1076,719,623,295
"Local no destinado para hab.humana (025)",11,,2,6,,3,
"Otro tipo (026)",15,,1,4,3,5,2
