"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CORONEL PORTILLO (000)",85500,80272,436,18112,17180,13676,17238,8436,3699,1495,5228,270666
"De 12 a 14 años (001)",303,146,9,109,28,,,,,,157,165
"De 15 a 19 años (002)",4496,3756,62,3002,571,96,25,,,,740,4532
"De 20 a 24 años (003)",11417,9560,74,5524,2817,891,233,21,,,1857,14931
"De 25 a 29 años (004)",12378,11233,61,3902,3927,2102,1124,100,17,,1145,23580
"De 30 a 34 años (005)",11327,10869,41,2030,3283,2682,2348,421,58,6,458,29979
"De 35 a 39 años (006)",10351,10100,39,1146,2285,2409,3085,941,170,25,251,34054
"De 40 a 44 años (007)",9166,9031,41,771,1562,1986,3040,1208,376,47,135,34626
"De 45 a 49 años (008)",7247,7140,32,509,1027,1287,2263,1389,501,132,107,31007
"De 50 y más años (009)",18815,18437,77,1119,1680,2223,5120,4356,2577,1285,378,97792
"PEA (010)",34884,32602,174,7271,7270,5906,7122,3143,1224,492,2282,106481
"De 12 a 14 años (011)",33,23,,17,6,,,,,,10,29
"De 15 a 19 años (012)",949,804,19,614,132,30,9,,,,145,1004
"De 20 a 24 años (013)",3695,2841,26,1799,722,217,66,11,,,854,4241
"De 25 a 29 años (014)",4751,4091,23,1712,1302,670,345,33,6,,660,8039
"De 30 a 34 años (015)",5132,4860,27,1162,1535,1081,883,137,33,2,272,12430
"De 35 a 39 años (016)",5221,5094,19,727,1311,1220,1367,381,60,9,127,15963
"De 40 a 44 años (017)",4824,4753,23,486,952,1089,1501,520,163,19,71,17152
"De 45 a 49 años (018)",3666,3611,15,319,604,711,1096,598,205,63,55,14713
"De 50 y más años (019)",6613,6525,22,435,706,888,1855,1463,757,399,88,32910
