"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CORONEL PORTILLO (000)",121102,85964,13383,9975,11780
"Empleado (001)",30912,10732,5208,5905,9067
"Obrero (002)",20664,10441,3949,3707,2567
"Trabajador independiente (003)",54948,51693,3255,,
"Empleador o patrono (004)",2657,1868,474,225,90
"Trabajador familiar no remunerado (005)",8062,7371,497,138,56
"Trabajador del hogar (006)",3859,3859,,,
"De 06 a 14 años (008)",2884,2536,250,85,13
"Empleado (009)",329,289,29,9,2
"Obrero (010)",482,326,102,45,9
"Trabajador independiente (011)",583,545,38,,
"Empleador o patrono (012)",8,6,2,,
"Trabajador familiar no remunerado (013)",1322,1210,79,31,2
"Trabajador del hogar (014)",160,160,,,
"De 15 a 29 años (016)",42548,29781,5686,3705,3376
"Empleado (017)",11664,5211,2234,1868,2351
"Obrero (018)",9076,4405,1963,1726,982
"Trabajador independiente (019)",15906,14772,1134,,
"Empleador o patrono (020)",677,480,125,49,23
"Trabajador familiar no remunerado (021)",3368,3056,230,62,20
"Trabajador del hogar (022)",1857,1857,,,
"De 30 a 44 años (024)",42638,28773,4606,3959,5300
"Empleado (025)",12361,3354,2029,2700,4278
"Obrero (026)",6245,2997,1134,1144,970
"Trabajador independiente (027)",20183,19013,1170,,
"Empleador o patrono (028)",1001,700,179,87,35
"Trabajador familiar no remunerado (029)",1757,1618,94,28,17
"Trabajador del hogar (030)",1091,1091,,,
"De 45 a 64 años (032)",28282,20671,2550,2081,2980
"Empleado (033)",6173,1681,862,1263,2367
"Obrero (034)",4275,2294,681,726,574
"Trabajador independiente (035)",15090,14298,792,,
"Empleador o patrono (036)",827,574,148,78,27
"Trabajador familiar no remunerado (037)",1281,1188,67,14,12
"Trabajador del hogar (038)",636,636,,,
"De 65 y más años (040)",4750,4203,291,145,111
"Empleado (041)",385,197,54,65,69
"Obrero (042)",586,419,69,66,32
"Trabajador independiente (043)",3186,3065,121,,
"Empleador o patrono (044)",144,108,20,11,5
"Trabajador familiar no remunerado (045)",334,299,27,3,5
"Trabajador del hogar (046)",115,115,,,
,,,,,
"URBANA (048)",103090,69565,12286,9615,11624
"Empleado (049)",30224,10429,5001,5841,8953
"Obrero (050)",17563,8064,3514,3452,2533
