"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia PADRE ABAD (000)",20661,682,7718,7374,4140,747
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",20,,,13,7,
"Profes., científicos e intelectuales (002)",790,,236,434,118,2
"Técnicos de nivel medio y trab.asimilados (003)",358,,144,151,58,5
"Jefes y empleados de oficina (004)",380,,169,144,65,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2012,49,685,826,414,38
"Agricult.trabaj. calif. agrop. y pesqueros (006)",6926,29,1945,2614,1872,466
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",1086,37,453,391,184,21
"Obreros construc., conf., papel, fab., instr. (008)",1609,7,619,633,329,21
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",6027,516,2792,1672,897,150
"Otra (010)",232,,110,103,19,
"Ocupación no especificada (011)",663,24,288,221,109,21
"Desocupado (012)",558,20,277,172,68,21
"Hombres (013)",15628,490,5797,5484,3234,623
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",15,,,9,6,
"Profes., científicos e intelectuales (015)",438,,109,245,83,1
"Técnicos de nivel medio y trab.asimilados (016)",276,,104,117,50,5
"Jefes y empleados de oficina (017)",221,,71,89,59,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",813,22,252,326,190,23
"Agricult.trabaj. calif. agrop. y pesqueros (019)",6359,26,1785,2424,1690,434
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",970,36,417,336,166,15
"Obreros construc., conf., papel, fab., instr. (021)",1558,6,590,621,321,20
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",3931,367,1988,948,535,93
"Otra (023)",231,,109,103,19,
"Ocupación no especificada (024)",418,17,192,133,62,14
"Desocupado (025)",398,16,180,133,53,16
"Mujeres (026)",5033,192,1921,1890,906,124
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",5,,,4,1,
"Profes., científicos e intelectuales (028)",352,,127,189,35,1
"Técnicos de nivel medio y trab.asimilados (029)",82,,40,34,8,
"Jefes y empleados de oficina (030)",159,,98,55,6,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",1199,27,433,500,224,15
"Agricult.trabaj. calif. agrop. y pesqueros (032)",567,3,160,190,182,32
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",116,1,36,55,18,6
"Obreros construc., conf., papel, fab., instr. (034)",51,1,29,12,8,1
