"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia LUYA (000)",11658,5919,5739
"Red pública dentro de la vivienda (001)",2329,1630,699
"Red pública fuera de la vivienda (002)",760,383,377
"Pilón de uso público (003)",126,11,115
"Camión - cisterna u otro similar (004)",42,,42
"Pozo (005)",901,145,756
"Río, acequia, manatial o similar (006)",6907,3654,3253
"Vecino (007)",317,86,231
"Otro (008)",276,10,266
,,,
"URBANA (010)",5004,4044,960
"Red pública dentro de la vivienda (011)",1662,1447,215
"Red pública fuera de la vivienda (012)",358,277,81
"Pilón de uso público (013)",8,6,2
"Camión - cisterna u otro similar (014)",2,,2
"Pozo (015)",83,43,40
"Río, acequia, manatial o similar (016)",2753,2214,539
"Vecino (017)",120,50,70
"Otro (018)",18,7,11
,,,
"RURAL (020)",6654,1875,4779
"Red pública dentro de la vivienda (021)",667,183,484
"Red pública fuera de la vivienda (022)",402,106,296
"Pilón de uso público (023)",118,5,113
"Camión - cisterna u otro similar (024)",40,,40
"Pozo (025)",818,102,716
"Río, acequia, manatial o similar (026)",4154,1440,2714
"Vecino (027)",197,36,161
"Otro (028)",258,3,255
