"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUARAL (000)",65858,679,21628,23860,16208,3483
"Agric., ganadería, caza y silvicultura (001)",20852,265,6324,6852,5583,1828
"Pesca (002)",700,1,151,293,214,41
"Explotación de minas y canteras (003)",261,,93,110,56,2
"Industrias manufactureras (004)",4311,51,1761,1508,858,133
"Suministro de electricidad, gas y agua (005)",259,1,84,98,72,4
"Construcción (006)",3028,20,997,1117,773,121
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",12664,195,3833,4629,3300,707
"Venta, mant.y rep. veh.autom.y motoc. (008)",1206,12,475,398,283,38
"Comercio al por mayor (009)",956,10,366,374,184,22
"Comercio al por menor (010)",10502,173,2992,3857,2833,647
"Hoteles y restaurantes (011)",3055,46,1045,1046,798,120
"Trans., almac. y comunicaciones (012)",6203,27,2320,2384,1336,136
"Intermediación financiera (013)",234,,117,86,31,
"Activid.inmobil., empres. y alquileres (014)",2756,2,1065,1094,527,68
"Admin.pub. y defensa; p. segur.soc.afil (015)",1647,,446,707,462,32
"Enseñanza (016)",3241,,739,1597,862,43
"Servicios sociales y de salud (017)",924,,278,423,203,20
"Otras activ. serv.comun.soc y personales (018)",2443,44,991,828,492,88
"Hogares privados con servicio doméstico (019)",1834,24,884,565,324,37
"Organiz. y organos extraterritoriales (020)",5,,2,1,2,
"Actividad economica no especificada (021)",1441,3,498,522,315,103
"Hombres (022)",43411,465,14300,15154,10876,2616
"Agric., ganadería, caza y silvicultura (023)",15710,204,4880,4929,4214,1483
"Pesca (024)",686,1,149,282,213,41
"Explotación de minas y canteras (025)",251,,90,106,53,2
"Industrias manufactureras (026)",3221,34,1328,1113,637,109
"Suministro de electricidad, gas y agua (027)",240,1,74,90,71,4
"Construcción (028)",2983,20,970,1105,768,120
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",6412,126,2055,2172,1640,419
"Venta, mant.y rep. veh.autom.y motoc. (030)",1119,11,431,368,272,37
"Comercio al por mayor (031)",597,5,239,231,108,14
"Comercio al por menor (032)",4696,110,1385,1573,1260,368
"Hoteles y restaurantes (033)",997,10,405,295,246,41
"Trans., almac. y comunicaciones (034)",5834,25,2118,2261,1297,133
"Intermediación financiera (035)",125,,42,57,26,
"Activid.inmobil., empres. y alquileres (036)",2027,2,722,837,404,62
"Admin.pub. y defensa; p. segur.soc.afil (037)",1084,,269,453,335,27
