"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SATIPO (000)",41359,39688,215,8348,8183,6641,9149,4793,1891,468,1671,136457
"De 12 a 14 años (001)",103,52,3,46,3,,,,,,51,52
"De 15 a 19 años (002)",2461,2252,30,1765,374,66,17,,,,209,2779
"De 20 a 24 años (003)",6519,5936,38,2869,1948,732,319,30,,,583,10504
"De 25 a 29 años (004)",6840,6450,36,1618,2167,1445,1014,145,25,,390,15745
"De 30 a 34 años (005)",5607,5479,27,795,1358,1293,1498,411,86,11,128,17336
"De 35 a 39 años (006)",5470,5394,24,456,907,1166,1855,745,203,38,76,20771
"De 40 a 44 años (007)",4199,4138,17,240,519,728,1389,850,325,70,61,18532
"De 45 a 49 años (008)",3378,3351,13,195,346,443,1125,790,350,89,27,16186
"De 50 y más años (009)",6782,6636,27,364,561,768,1932,1822,902,260,146,34552
"PEA (010)",12791,12015,87,2689,2703,2070,2612,1270,456,128,776,39080
"De 12 a 14 años (011)",14,10,1,9,,,,,,,4,9
"De 15 a 19 años (012)",529,459,4,345,87,15,8,,,,70,596
"De 20 a 24 años (013)",1678,1406,18,746,410,158,64,10,,,272,2376
"De 25 a 29 años (014)",2020,1796,21,598,592,331,211,37,6,,224,3970
"De 30 a 34 años (015)",1916,1836,16,395,551,389,372,92,20,1,80,5023
"De 35 a 39 años (016)",1959,1909,12,252,417,454,530,191,41,12,50,6456
"De 40 a 44 años (017)",1534,1510,5,126,281,290,458,241,87,22,24,6084
"De 45 a 49 años (018)",1313,1296,4,98,184,188,444,257,93,28,17,5715
"De 50 y más años (019)",1828,1793,6,120,181,245,525,442,209,65,35,8851
"Ocupada (020)",12550,11795,83,2615,2653,2034,2574,1255,453,128,755,38511
