"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ANTONIO RAYMONDI (000)",4193,62,1830,1420,382,123,48,19,3,,306
"Sin Nivel (001)",1513,34,675,501,127,54,23,9,1,,89
"Educación Inicial (002)",7,,3,4,,,,,,,
"Primaria (003)",1503,22,755,496,94,27,14,4,1,,90
"Secundaria (004)",844,6,344,302,82,18,4,3,,,85
"Sup. no Univ. Incompleta (005)",70,,11,40,12,,1,,,,6
"Sup. no Univ. Completa (006)",139,,19,48,36,10,3,2,,,21
"Sup. Univ. Incompleta (007)",29,,5,9,8,3,,,,,4
"Sup. Univ. Completa (008)",88,,18,20,23,11,3,1,1,,11
,,,,,,,,,,,
"URBANA (010)",1139,16,408,374,152,53,22,9,1,,104
"Sin Nivel (011)",212,6,80,58,24,13,10,3,,,18
"Educación Inicial (012)",1,,1,,,,,,,,
"Primaria (013)",334,9,157,103,29,11,5,2,,,18
"Secundaria (014)",345,1,127,131,39,9,1,1,,,36
"Sup. no Univ. Incompleta (015)",41,,8,20,8,,1,,,,4
"Sup. no Univ. Completa (016)",105,,16,36,26,7,2,2,,,16
"Sup. Univ. Incompleta (017)",27,,5,9,6,3,,,,,4
"Sup. Univ. Completa (018)",74,,14,17,20,10,3,1,1,,8
,,,,,,,,,,,
"RURAL (020)",3054,46,1422,1046,230,70,26,10,2,,202
"Sin Nivel (021)",1301,28,595,443,103,41,13,6,1,,71
"Educación Inicial (022)",6,,2,4,,,,,,,
"Primaria (023)",1169,13,598,393,65,16,9,2,1,,72
"Secundaria (024)",499,5,217,171,43,9,3,2,,,49
"Sup. no Univ. Incompleta (025)",29,,3,20,4,,,,,,2
"Sup. no Univ. Completa (026)",34,,3,12,10,3,1,,,,5
"Sup. Univ. Incompleta (027)",2,,,,2,,,,,,
"Sup. Univ. Completa (028)",14,,4,3,3,1,,,,,3
