"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia FERREÑAFE (000)",44888,6774,13451,11559,13104
"Asiste actualmente (001)",29659,3424,12408,9758,4069
"No asiste (002)",15229,3350,1043,1801,9035
"Hombres (004)",22787,3432,6841,6019,6495
"Asiste actualmente (005)",15418,1671,6350,5213,2184
"No asiste (006)",7369,1761,491,806,4311
"Mujeres (008)",22101,3342,6610,5540,6609
"Asiste actualmente (009)",14241,1753,6058,4545,1885
"No asiste (010)",7860,1589,552,995,4724
,,,,,
"URBANA (012)",22658,2986,6240,6210,7222
"Asiste actualmente (013)",16389,1935,6017,5546,2891
"No asiste (014)",6269,1051,223,664,4331
"Hombres (016)",11430,1536,3200,3175,3519
"Asiste actualmente (017)",8362,967,3087,2837,1471
"No asiste (018)",3068,569,113,338,2048
"Mujeres (020)",11228,1450,3040,3035,3703
"Asiste actualmente (021)",8027,968,2930,2709,1420
"No asiste (022)",3201,482,110,326,2283
,,,,,
"RURAL (024)",22230,3788,7211,5349,5882
"Asiste actualmente (025)",13270,1489,6391,4212,1178
"No asiste (026)",8960,2299,820,1137,4704
"Hombres (028)",11357,1896,3641,2844,2976
"Asiste actualmente (029)",7056,704,3263,2376,713
"No asiste (030)",4301,1192,378,468,2263
"Mujeres (032)",10873,1892,3570,2505,2906
"Asiste actualmente (033)",6214,785,3128,1836,465
"No asiste (034)",4659,1107,442,669,2441
