"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia PARINACOCHAS (000)",287,75,212
"Sin nivel (001)",18,4,14
"Primaria (003)",70,13,57
"Secundaria (004)",105,31,74
"Superior no univ. incompleta (005)",28,8,20
"Superior no univ. completa (006)",46,14,32
"Superior univ. incompleta (007)",4,1,3
"Superior univ. completa (008)",16,4,12
"De 14 a 29 años (010)",158,55,103
"Sin nivel (011)",2,,2
"Primaria (013)",27,8,19
"Secundaria (014)",72,26,46
"Superior no univ. incompleta (015)",20,6,14
"Superior no univ. completa (016)",29,13,16
"Superior univ. incompleta (017)",3,,3
"Superior univ. completa (018)",5,2,3
"De 30 a 44 años (020)",81,18,63
"Sin nivel (021)",6,3,3
"Primaria (023)",23,4,19
"Secundaria (024)",24,5,19
"Superior no univ. incompleta (025)",8,2,6
"Superior no univ. completa (026)",13,1,12
"Superior univ. incompleta (027)",1,1,
"Superior univ. completa (028)",6,2,4
"De 45 a 64 años (030)",38,2,36
"Sin nivel (031)",7,1,6
"Primaria (033)",18,1,17
"Secundaria (034)",8,,8
"Superior no univ. completa (036)",3,,3
"Superior univ. completa (038)",2,,2
"De 65 y más años (040)",10,,10
"Sin nivel (041)",3,,3
"Primaria (043)",2,,2
"Secundaria (044)",1,,1
"Superior no univ. completa (046)",1,,1
"Superior univ. completa (048)",3,,3
,,,
"AREA URBANA (050)",198,45,153
"Sin nivel (051)",6,,6
"Primaria (053)",41,6,35
"Secundaria (054)",72,19,53
"Superior no univ. incompleta (055)",22,5,17
"Superior no univ. completa (056)",40,11,29
"Superior univ. incompleta (057)",4,1,3
"Superior univ. completa (058)",13,3,10
"De 14 a 29 años (060)",112,36,76
"Sin nivel (061)",1,,1
"Primaria (063)",14,3,11
"Secundaria (064)",48,17,31
"Superior no univ. incompleta (065)",15,4,11
"Superior no univ. completa (066)",26,10,16
"Superior univ. incompleta (067)",3,,3
"Superior univ. completa (068)",5,2,3
"De 30 a 44 años (070)",53,9,44
"Sin nivel (071)",1,,1
"Primaria (073)",13,3,10
"Secundaria (074)",16,2,14
"Superior no univ. incompleta (075)",7,1,6
"Superior no univ. completa (076)",10,1,9
"Superior univ. incompleta (077)",1,1,
"Superior univ. completa (078)",5,1,4
"De 45 a 64 años (080)",27,,27
"Sin nivel (081)",4,,4
"Primaria (083)",12,,12
"Secundaria (084)",7,,7
"Superior no univ. completa (086)",3,,3
"Superior univ. completa (088)",1,,1
"De 65 y más años (090)",6,,6
"Primaria (093)",2,,2
"Secundaria (094)",1,,1
"Superior no univ. completa (096)",1,,1
"Superior univ. completa (098)",2,,2
,,,
"AREA RURAL (100)",89,30,59
"Sin nivel (101)",12,4,8
"Primaria (103)",29,7,22
"Secundaria (104)",33,12,21
"Superior no univ. incompleta (105)",6,3,3
"Superior no univ. completa (106)",6,3,3
"Superior univ. completa (108)",3,1,2
"De 14 a 29 años (110)",46,19,27
"Sin nivel (111)",1,,1
"Primaria (113)",13,5,8
"Secundaria (114)",24,9,15
"Superior no univ. incompleta (115)",5,2,3
"Superior no univ. completa (116)",3,3,
"De 30 a 44 años (120)",28,9,19
"Sin nivel (121)",5,3,2
"Primaria (123)",10,1,9
"Secundaria (124)",8,3,5
"Superior no univ. incompleta (125)",1,1,
"Superior no univ. completa (126)",3,,3
"Superior univ. completa (128)",1,1,
"De 45 a 64 años (130)",11,2,9
"Sin nivel (131)",3,1,2
"Primaria (133)",6,1,5
"Secundaria (134)",1,,1
"Superior univ. completa (138)",1,,1
"De 65 y más años (140)",4,,4
"Sin nivel (141)",3,,3
"Superior univ. completa (148)",1,,1
