"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia ILO (000)",24911,23620,6747,4529,5024,3171,2671,927,551,1291
"Católica (001)",20416,19362,5398,3765,4194,2641,2188,727,449,1054
"Cristiana/Evangélica (002)",2238,2103,625,354,426,285,259,101,53,135
"Otra (003)",1532,1457,462,254,268,183,167,82,41,75
"Ninguna (004)",725,698,262,156,136,62,57,17,8,27
,,,,,,,,,,
"URBANA (006)",24796,23510,6707,4520,4999,3154,2659,923,548,1286
"Católica (007)",20304,19255,5358,3758,4169,2624,2177,723,446,1049
"Cristiana/Evangélica (008)",2237,2102,625,353,426,285,259,101,53,135
"Otra (009)",1531,1456,462,253,268,183,167,82,41,75
"Ninguna (010)",724,697,262,156,136,62,56,17,8,27
,,,,,,,,,,
"RURAL (012)",115,110,40,9,25,17,12,4,3,5
"Católica (013)",112,107,40,7,25,17,11,4,3,5
"Cristiana/Evangélica (014)",1,1,,1,,,,,,
"Otra (015)",1,1,,1,,,,,,
"Ninguna (016)",1,1,,,,,1,,,
