"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SATIPO (000)",178656,37334,8187,4016,129338
"Quechua (001)",18433,1845,375,260,15974
"Aymara (002)",264,93,10,29,144
"Asháninka (003)",30945,13931,561,481,16020
"Otra lengua nativa (004)",6148,1964,58,49,4082
"Castellano (005)",122661,19457,7172,3182,92983
"Idioma Extranjero (006)",19,1,4,11,3
"Es Sordomudo/a (007)",186,43,7,4,132
"Hombres (009)",96093,18446,4271,2589,70933
"Quechua (010)",10248,893,220,138,9008
"Aymara (011)",165,55,7,20,91
"Asháninka (012)",15858,6714,332,340,8496
"Otra lengua nativa (013)",3092,907,32,34,2124
"Castellano (014)",66609,9857,3675,2047,51128
"Idioma Extranjero (015)",11,,2,8,1
"Es Sordomudo/a (016)",110,20,3,2,85
"Mujeres (018)",82563,18888,3916,1427,58405
"Quechua (019)",8185,952,155,122,6966
"Aymara (020)",99,38,3,9,53
"Asháninka (021)",15087,7217,229,141,7524
"Otra lengua nativa (022)",3056,1057,26,15,1958
"Castellano (023)",56052,9600,3497,1135,41855
"Idioma Extranjero (024)",8,1,2,3,2
"Es Sordomudo/a (025)",76,23,4,2,47
,,,,,
"URBANA (027)",50236,5151,5666,2054,37437
"Quechua (028)",3320,113,185,50,2974
"Aymara (029)",48,4,7,3,35
"Asháninka (030)",2124,684,323,23,1098
"Otra lengua nativa (031)",139,27,12,22,78
"Castellano (032)",44560,4314,5135,1949,33227
"Idioma Extranjero (033)",9,1,1,5,2
"Es Sordomudo/a (034)",36,8,3,2,23
"Hombres (036)",25781,2473,2965,1308,19085
"Quechua (037)",1663,49,103,32,1480
"Aymara (038)",30,2,5,2,22
"Asháninka (039)",1068,295,203,10,562
"Otra lengua nativa (040)",72,14,7,18,33
"Castellano (041)",22925,2110,2646,1240,16975
"Idioma Extranjero (042)",5,,,4,1
"Es Sordomudo/a (043)",18,3,1,2,12
"Mujeres (045)",24455,2678,2701,746,18352
"Quechua (046)",1657,64,82,18,1494
"Aymara (047)",18,2,2,1,13
"Asháninka (048)",1056,389,120,13,536
"Otra lengua nativa (049)",67,13,5,4,45
"Castellano (050)",21635,2204,2489,709,16252
"Idioma Extranjero (051)",4,1,1,1,1
"Es Sordomudo/a (052)",18,5,2,,11
,,,,,
"RURAL (054)",128420,32183,2521,1962,91901
"Quechua (055)",15113,1732,190,210,13000
"Aymara (056)",216,89,3,26,109
"Asháninka (057)",28821,13247,238,458,14922
"Otra lengua nativa (058)",6009,1937,46,27,4004
"Castellano (059)",78101,15143,2037,1233,59756
"Idioma Extranjero (060)",10,,3,6,1
"Es Sordomudo/a (061)",150,35,4,2,109
"Hombres (063)",70312,15973,1306,1281,51848
"Quechua (064)",8585,844,117,106,7528
"Aymara (065)",135,53,2,18,69
"Asháninka (066)",14790,6419,129,330,7934
"Otra lengua nativa (067)",3020,893,25,16,2091
"Castellano (068)",43684,7747,1029,807,34153
"Idioma Extranjero (069)",6,,2,4,
"Es Sordomudo/a (070)",92,17,2,,73
"Mujeres (072)",58108,16210,1215,681,40053
"Quechua (073)",6528,888,73,104,5472
"Aymara (074)",81,36,1,8,40
"Asháninka (075)",14031,6828,109,128,6988
"Otra lengua nativa (076)",2989,1044,21,11,1913
"Castellano (077)",34417,7396,1008,426,25603
"Idioma Extranjero (078)",4,,1,2,1
"Es Sordomudo/a (079)",58,18,2,2,36
