"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CORONGO (000)",1904,1287,617
"Red pública de desague dentro de la vivienda (001)",731,702,29
"Red pública de desague fuera de la vivienda (002)",64,57,7
"Pozo séptico (003)",45,27,18
"Pozo ciego o negro / letrina (004)",236,132,104
"Río, acequia o canal (005)",6,1,5
"No tiene (006)",822,368,454
,,,
"URBANA (008)",1015,877,138
"Red pública de desague dentro de la vivienda (009)",587,561,26
"Red pública de desague fuera de la vivienda (010)",48,41,7
"Pozo séptico (011)",19,18,1
"Pozo ciego o negro / letrina (012)",52,44,8
"Río, acequia o canal (013)",2,,2
"No tiene (014)",307,213,94
,,,
"RURAL (016)",889,410,479
"Red pública de desague dentro de la vivienda (017)",144,141,3
"Red pública de desague fuera de la vivienda (018)",16,16,
"Pozo séptico (019)",26,9,17
"Pozo ciego o negro / letrina (020)",184,88,96
"Río, acequia o canal (021)",4,1,3
"No tiene (022)",515,155,360
