"CUADRO Nº 16: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia MAYNAS",,,
"Viviendas particulares (001)",96113,69016,27097
"Ocupantes presentes (002)",486072,351044,135028
"Casa independiente",,,
"Viviendas particulares (004)",79437,62932,16505
"Ocupantes presentes (005)",410603,328585,82018
"Departamento en edificio",,,
"Viviendas particulares (007)",534,534,
"Ocupantes presentes (008)",1755,1755,
"Vivienda en quinta",,,
"Viviendas particulares (010)",3447,3447,
"Ocupantes presentes (011)",10105,10105,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",381,332,49
"Ocupantes presentes (014)",1723,1484,239
"Choza o cabaña",,,
"Viviendas particulares (016)",11567,1287,10280
"Ocupantes presentes (017)",58766,6997,51769
"Vivienda improvisada",,,
"Viviendas particulares (019)",571,367,204
"Ocupantes presentes (020)",2600,1767,833
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",139,108,31
"Ocupantes presentes (023)",424,332,92
"Otro tipo",,,
"Viviendas particulares (025)",37,9,28
"Ocupantes presentes (026)",96,19,77
,,,
URBANA,,,
"Viviendas particulares (028)",76743,65930,10813
"Ocupantes presentes (029)",386891,334709,52182
"Casa independiente",,,
"Viviendas particulares (031)",71654,61137,10517
"Ocupantes presentes (032)",370225,319255,50970
"Departamento en edificio",,,
"Viviendas particulares (034)",534,534,
"Ocupantes presentes (035)",1755,1755,
"Vivienda en quinta",,,
"Viviendas particulares (037)",3447,3447,
"Ocupantes presentes (038)",10105,10105,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",381,332,49
"Ocupantes presentes (041)",1723,1484,239
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (046)",571,367,204
"Ocupantes presentes (047)",2600,1767,833
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",124,104,20
"Ocupantes presentes (050)",394,324,70
"Otro tipo",,,
"Viviendas particulares (052)",32,9,23
"Ocupantes presentes (053)",89,19,70
,,,
RURAL,,,
"Viviendas particulares (055)",19370,3086,16284
"Ocupantes presentes (056)",99181,16335,82846
"Casa independiente",,,
"Viviendas particulares (058)",7783,1795,5988
"Ocupantes presentes (059)",40378,9330,31048
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",11567,1287,10280
"Ocupantes presentes (071)",58766,6997,51769
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (076)",15,4,11
"Ocupantes presentes (077)",30,8,22
"Otro tipo",,,
"Viviendas particulares (079)",5,,5
"Ocupantes presentes (080)",7,,7
