"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ANTABAMBA (000)",4079,2526,842,242,469
"Agric., ganadería, caza y silvicultura (001)",2572,1836,601,134,1
"Explotación de minas y canteras (003)",238,107,33,50,48
"Industrias manufactureras (004)",60,50,9,1,
"Suministro de electricidad, gas y agua (005)",2,1,,1,
"Construcción (006)",171,76,70,17,8
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",246,237,9,,
"Venta, mant.y rep. veh.autom y motoc. (008)",1,1,,,
"Comercio al por mayor (009)",11,11,,,
"Comercio al por menor (010)",234,225,9,,
"Hoteles y restaurantes (011)",40,35,3,2,
"Trans., almac. y comunicaciones (012)",25,21,4,,
"Intermediación financiera (013)",1,,,1,
"Activid.inmobil., empres. y alquileres (014)",17,9,6,1,1
"Admin.pub. y defensa; p. segur soc.afil (015)",237,,,,237
"Enseñanza (016)",264,51,74,15,124
"Servicios sociales y de salud (017)",52,2,2,1,47
"Otras activ. serv.comun.soc y personales (018)",19,6,9,4,
"Hogares privados con servicio doméstico (019)",23,23,,,
"Actividad economica no especificada (021)",112,72,22,15,3
"Hombres (022)",2650,1609,545,159,337
"Agric., ganadería, caza y silvicultura (023)",1676,1227,371,77,1
"Explotación de minas y canteras (025)",231,105,30,48,48
"Industrias manufactureras (026)",33,25,7,1,
"Suministro de electricidad, gas y agua (027)",1,1,,,
"Construcción (028)",157,71,65,14,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",86,83,3,,
"Venta, mant.y rep. veh.autom y motoc. (030)",1,1,,,
"Comercio al por mayor (031)",6,6,,,
"Comercio al por menor (032)",79,76,3,,
"Hoteles y restaurantes (033)",14,10,2,2,
"Trans., almac. y comunicaciones (034)",24,20,4,,
"Activid.inmobil., empres. y alquileres (036)",13,7,4,1,1
"Admin.pub. y defensa; p. segur soc.afil (037)",180,,,,180
"Enseñanza (038)",155,28,44,5,78
"Servicios sociales y de salud (039)",22,1,1,,20
"Otras activ. serv.comun.soc y personales (040)",11,5,4,2,
"Hogares privados con servicio doméstico (041)",2,2,,,
"Actividad economica no especificada (043)",45,24,10,9,2
"Mujeres (044)",1429,917,297,83,132
"Agric., ganadería, caza y silvicultura (045)",896,609,230,57,
"Explotación de minas y canteras (047)",7,2,3,2,
