"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ICA (000)",129962,65092,12179,15394,37297
"Sin nivel (001)",1236,759,84,124,269
"Educación inicial (002)",60,30,8,7,15
"Primaria (003)",14290,8557,1085,1154,3494
"Secundaria (004)",56409,30422,4853,5160,15974
"Superior no univ. incompleta (005)",8951,4816,891,949,2295
"Superior no univ. completa (006)",15242,6658,1773,2514,4297
"Superior univ. incompleta (007)",8960,4881,918,1038,2123
"Superior univ. completa (008)",24814,8969,2567,4448,8830
"De 06 a 14 años (010)",1159,906,128,83,42
"Sin nivel (011)",8,6,1,1,
"Educación inicial (012)",11,8,3,,
"Primaria (013)",533,417,70,33,13
"Secundaria (014)",607,475,54,49,29
"De 15 a 29 años (020)",44750,20582,4665,5381,14122
"Sin nivel (021)",128,66,8,13,41
"Educación inicial (022)",28,14,3,2,9
"Primaria (023)",2161,857,194,258,852
"Secundaria (024)",23435,10978,2199,2400,7858
"Superior no univ. incompleta (025)",4770,2478,518,520,1254
"Superior no univ. completa (026)",5620,2440,690,878,1612
"Superior univ. incompleta (027)",4025,2106,475,512,932
"Superior univ. completa (028)",4583,1643,578,798,1564
"De 30 a 44 años (030)",47885,22613,4435,6130,14707
"Sin nivel (031)",281,133,17,32,99
"Educación inicial (032)",21,8,2,5,6
"Primaria (033)",3481,1528,271,324,1358
"Secundaria (034)",19699,10477,1619,1866,5737
"Superior no univ. incompleta (035)",2994,1641,263,315,775
"Superior no univ. completa (036)",7000,3020,825,1210,1945
"Superior univ. incompleta (037)",2825,1511,265,329,720
"Superior univ. completa (038)",11584,4295,1173,2049,4067
"De 45 a 64 años (040)",31554,17418,2663,3531,7942
"Sin nivel (041)",541,331,38,61,111
"Primaria (043)",5779,3780,429,448,1122
"Secundaria (044)",11481,7559,907,783,2232
"Superior no univ. incompleta (045)",1118,651,101,110,256
"Superior no univ. completa (046)",2500,1109,251,418,722
"Superior univ. incompleta (047)",2029,1210,172,192,455
"Superior univ. completa (048)",8106,2778,765,1519,3044
"De 65 y más años (050)",4614,3573,288,269,484
"Sin nivel (051)",278,223,20,17,18
"Primaria (053)",2336,1975,121,91,149
"Secundaria (054)",1187,933,74,62,118
"Superior no univ. incompleta (055)",69,46,9,4,10
