"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ANDAHUAYLAS (000)",37097,444,14648,11562,3980,1286,536,210,36,,4395
"Conviviente (001)",7694,86,3122,2385,792,234,68,21,3,,983
"Separado(a) (002)",1850,34,740,563,259,96,29,10,3,,116
"Casado(a) (003)",20315,222,8637,6773,2190,659,295,121,19,,1399
"Viudo(a) (004)",4449,83,1703,1341,513,198,103,46,7,,455
"Divorciado(a) (005)",256,2,98,85,31,13,3,2,,,22
"Soltero(a) (006)",2533,17,348,415,195,86,38,10,4,,1420
,,,,,,,,,,,
"URBANA (008)",16881,182,5775,4985,2104,774,308,122,19,,2612
"Conviviente (009)",4296,45,1551,1327,520,173,46,15,2,,617
"Separado(a) (010)",1005,21,358,303,155,67,19,5,1,,76
"Casado(a) (011)",8236,83,3081,2624,1115,392,171,64,10,,696
"Viudo(a) (012)",1516,26,534,407,164,82,49,31,3,,220
"Divorciado(a) (013)",134,2,44,50,17,6,1,1,,,13
"Soltero(a) (014)",1694,5,207,274,133,54,22,6,3,,990
,,,,,,,,,,,
"RURAL (016)",20216,262,8873,6577,1876,512,228,88,17,,1783
"Conviviente (017)",3398,41,1571,1058,272,61,22,6,1,,366
"Separado(a) (018)",845,13,382,260,104,29,10,5,2,,40
"Casado(a) (019)",12079,139,5556,4149,1075,267,124,57,9,,703
"Viudo(a) (020)",2933,57,1169,934,349,116,54,15,4,,235
"Divorciado(a) (021)",122,,54,35,14,7,2,1,,,9
"Soltero(a) (022)",839,12,141,141,62,32,16,4,1,,430
