"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia GENERAL SANCHEZ CERRO (000)",9390,1225,2311,2234,3620
"Asiste actualmente (001)",6553,795,2203,2030,1525
"No asiste (002)",2837,430,108,204,2095
"Hombres (004)",4891,603,1172,1193,1923
"Asiste actualmente (005)",3377,388,1113,1083,793
"No asiste (006)",1514,215,59,110,1130
"Mujeres (008)",4499,622,1139,1041,1697
"Asiste actualmente (009)",3176,407,1090,947,732
"No asiste (010)",1323,215,49,94,965
,,,,,
"URBANA (012)",4203,505,1001,932,1765
"Asiste actualmente (013)",3097,351,977,877,892
"No asiste (014)",1106,154,24,55,873
"Hombres (016)",2151,267,505,488,891
"Asiste actualmente (017)",1563,182,490,459,432
"No asiste (018)",588,85,15,29,459
"Mujeres (020)",2052,238,496,444,874
"Asiste actualmente (021)",1534,169,487,418,460
"No asiste (022)",518,69,9,26,414
,,,,,
"RURAL (024)",5187,720,1310,1302,1855
"Asiste actualmente (025)",3456,444,1226,1153,633
"No asiste (026)",1731,276,84,149,1222
"Hombres (028)",2740,336,667,705,1032
"Asiste actualmente (029)",1814,206,623,624,361
"No asiste (030)",926,130,44,81,671
"Mujeres (032)",2447,384,643,597,823
"Asiste actualmente (033)",1642,238,603,529,272
"No asiste (034)",805,146,40,68,551
