"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CARABAYA (000)",1521,1206,315
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",204,171,33
"Casa pensión (003)",15,5,10
"Hospital, clinica (004)",93,93,
"Cárcel, centro de readaptación social (005)",8,8,
"Aldea infantil, orfelinato, etc (007)",71,71,
"Otro (008)",392,135,257
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",738,723,15
