"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CUTERVO (000)",128874,24156,3936,69976,24082,1469,3122,695,1438
"Quechua (001)",65,8,1,35,15,2,3,,1
"Aymara (002)",26,6,1,13,4,1,1,,
"Ashaninca (003)",12,3,2,7,,,,,
"Otra lengua nativa (004)",11,1,,7,1,2,,,
"Castellano (005)",128288,23736,3928,69858,24053,1464,3117,695,1437
"Es sordomudo/a (007)",472,402,4,56,9,,1,,
"Hombres (009)",64685,8640,2061,36072,14078,826,1711,441,856
"Quechua (010)",31,2,,19,6,1,2,,1
"Aymara (011)",12,3,1,5,2,1,,,
"Ashaninca (012)",6,,2,4,,,,,
"Otra lengua nativa (013)",5,,,3,1,1,,,
"Castellano (014)",64368,8416,2056,36006,14063,823,1708,441,855
"Es sordomudo/a (016)",263,219,2,35,6,,1,,
"Mujeres (018)",64189,15516,1875,33904,10004,643,1411,254,582
"Quechua (019)",34,6,1,16,9,1,1,,
"Aymara (020)",14,3,,8,2,,1,,
"Ashaninca (021)",6,3,,3,,,,,
"Otra lengua nativa (022)",6,1,,4,,1,,,
"Castellano (023)",63920,15320,1872,33852,9990,641,1409,254,582
"Es sordomudo/a (025)",209,183,2,21,3,,,,
,,,,,,,,,
"URBANA (027)",25364,2861,700,9552,7133,1018,2425,519,1156
"Quechua (028)",21,,,7,9,1,3,,1
"Aymara (029)",9,2,1,2,2,1,1,,
"Ashaninca (030)",5,2,,3,,,,,
"Otra lengua nativa (031)",6,,,4,,2,,,
"Castellano (032)",25288,2830,699,9529,7121,1014,2421,519,1155
"Es sordomudo/a (034)",35,27,,7,1,,,,
"Hombres (036)",12457,984,338,4614,3783,522,1232,318,666
"Quechua (037)",11,,,3,4,1,2,,1
"Aymara (038)",6,2,1,1,1,1,,,
"Ashaninca (039)",3,,,3,,,,,
"Otra lengua nativa (040)",1,,,,,1,,,
"Castellano (041)",12418,967,337,4604,3778,519,1230,318,665
"Es sordomudo/a (043)",18,15,,3,,,,,
"Mujeres (045)",12907,1877,362,4938,3350,496,1193,201,490
"Quechua (046)",10,,,4,5,,1,,
"Aymara (047)",3,,,1,1,,1,,
"Ashaninca (048)",2,2,,,,,,,
"Otra lengua nativa (049)",5,,,4,,1,,,
"Castellano (050)",12870,1863,362,4925,3343,495,1191,201,490
"Es sordomudo/a (052)",17,12,,4,1,,,,
,,,,,,,,,
"RURAL (054)",103510,21295,3236,60424,16949,451,697,176,282
"Quechua (055)",44,8,1,28,6,1,,,
"Aymara (056)",17,4,,11,2,,,,
"Ashaninca (057)",7,1,2,4,,,,,
"Otra lengua nativa (058)",5,1,,3,1,,,,
"Castellano (059)",103000,20906,3229,60329,16932,450,696,176,282
"Es sordomudo/a (061)",437,375,4,49,8,,1,,
"Hombres (063)",52228,7656,1723,31458,10295,304,479,123,190
"Quechua (064)",20,2,,16,2,,,,
"Aymara (065)",6,1,,4,1,,,,
"Ashaninca (066)",3,,2,1,,,,,
"Otra lengua nativa (067)",4,,,3,1,,,,
"Castellano (068)",51950,7449,1719,31402,10285,304,478,123,190
"Es sordomudo/a (070)",245,204,2,32,6,,1,,
"Mujeres (072)",51282,13639,1513,28966,6654,147,218,53,92
"Quechua (073)",24,6,1,12,4,1,,,
"Aymara (074)",11,3,,7,1,,,,
"Ashaninca (075)",4,1,,3,,,,,
"Otra lengua nativa (076)",1,1,,,,,,,
"Castellano (077)",51050,13457,1510,28927,6647,146,218,53,92
"Es sordomudo/a (079)",192,171,2,17,2,,,,
