"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia AIJA (000)",6894,1322,558,138,4877
"Hombres (001)",3436,609,296,95,2437
"Mujeres (002)",3458,713,262,43,2440
"PEA (003)",2348,212,279,77,1781
"Hombres (004)",1758,147,181,68,1363
"Mujeres (005)",590,65,98,9,418
"Ocupada (006)",2181,205,278,76,1623
"Hombres (007)",1606,141,180,67,1219
"Mujeres (008)",575,64,98,9,404
"Desocupada (009)",167,7,1,1,158
"Hombres (010)",152,6,1,1,144
"Mujeres (011)",15,1,,,14
"No PEA (012)",4546,1110,279,61,3096
"Hombres (013)",1678,462,115,27,1074
"Mujeres (014)",2868,648,164,34,2022
,,,,,
"URBANA (018)",2225,299,416,59,1452
"Hombres (019)",1091,133,220,37,702
"Mujeres (020)",1134,166,196,22,750
"PEA (021)",835,65,206,33,532
"Hombres (022)",560,41,127,25,368
"Mujeres (023)",275,24,79,8,164
"Ocupada (024)",788,63,205,33,488
"Hombres (025)",522,39,126,25,333
"Mujeres (026)",266,24,79,8,155
"Desocupada (027)",47,2,1,,44
"Hombres (028)",38,2,1,,35
"Mujeres (029)",9,,,,9
"No PEA (030)",1390,234,210,26,920
"Hombres (031)",531,92,93,12,334
"Mujeres (032)",859,142,117,14,586
,,,,,
"RURAL (036)",4669,1023,142,79,3425
"Hombres (037)",2345,476,76,58,1735
"Mujeres (038)",2324,547,66,21,1690
"PEA (039)",1513,147,73,44,1249
"Hombres (040)",1198,106,54,43,995
"Mujeres (041)",315,41,19,1,254
"Ocupada (042)",1393,142,73,43,1135
"Hombres (043)",1084,102,54,42,886
"Mujeres (044)",309,40,19,1,249
"Desocupada (045)",120,5,,1,114
"Hombres (046)",114,4,,1,109
"Mujeres (047)",6,1,,,5
"No PEA (048)",3156,876,69,35,2176
"Hombres (049)",1147,370,22,15,740
"Mujeres (050)",2009,506,47,20,1436
