"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CAJABAMBA (000)",39,30,9
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",14,12,2
"Casa pensión (003)",2,1,1
"Hospital, clinica (004)",6,5,1
"Cárcel, centro de readaptación social (005)",1,1,
"Asilo (006)",1,1,
"Otro (008)",11,7,4
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",4,3,1
