"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CONTUMAZA (000)",8135,3361,4774
"Red pública de desague dentro de la vivienda (001)",2049,1957,92
"Red pública de desague fuera de la vivienda (002)",167,156,11
"Pozo séptico (003)",119,57,62
"Pozo ciego o negro / letrina (004)",3240,798,2442
"Río, acequia o canal (005)",120,13,107
"No tiene (006)",2440,380,2060
,,,
"URBANA (008)",3450,2928,522
"Red pública de desague dentro de la vivienda (009)",1962,1910,52
"Red pública de desague fuera de la vivienda (010)",155,150,5
"Pozo séptico (011)",59,47,12
"Pozo ciego o negro / letrina (012)",752,499,253
"Río, acequia o canal (013)",18,11,7
"No tiene (014)",504,311,193
,,,
"RURAL (016)",4685,433,4252
"Red pública de desague dentro de la vivienda (017)",87,47,40
"Red pública de desague fuera de la vivienda (018)",12,6,6
"Pozo séptico (019)",60,10,50
"Pozo ciego o negro / letrina (020)",2488,299,2189
"Río, acequia o canal (021)",102,2,100
"No tiene (022)",1936,69,1867
