"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia AZANGARO (000)",37761,15436,22325
"Red pública dentro de la vivienda (001)",4675,3712,963
"Red pública fuera de la vivienda (002)",4145,3340,805
"Pilón de uso público (003)",761,336,425
"Camión - cisterna u otro similar (004)",14,4,10
"Pozo (005)",16169,5580,10589
"Río, acequia, manatial o similar (006)",9572,1721,7851
"Vecino (007)",1836,562,1274
"Otro (008)",589,181,408
,,,
"URBANA (010)",10288,8068,2220
"Red pública dentro de la vivienda (011)",4193,3624,569
"Red pública fuera de la vivienda (012)",3873,3307,566
"Pilón de uso público (013)",163,114,49
"Camión - cisterna u otro similar (014)",3,3,
"Pozo (015)",1197,553,644
"Río, acequia, manatial o similar (016)",247,166,81
"Vecino (017)",440,205,235
"Otro (018)",172,96,76
,,,
"RURAL (020)",27473,7368,20105
"Red pública dentro de la vivienda (021)",482,88,394
"Red pública fuera de la vivienda (022)",272,33,239
"Pilón de uso público (023)",598,222,376
"Camión - cisterna u otro similar (024)",11,1,10
"Pozo (025)",14972,5027,9945
"Río, acequia, manatial o similar (026)",9325,1555,7770
"Vecino (027)",1396,357,1039
"Otro (028)",417,85,332
