"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia PISCO (000)",29929,19383,10546
"Red pública dentro de la vivienda (001)",16455,14099,2356
"Red pública fuera de la vivienda (002)",2131,1419,712
"Pilón de uso público (003)",1167,298,869
"Camión - cisterna u otro similar (004)",3069,884,2185
"Pozo (005)",1705,923,782
"Río, acequia, manatial o similar (006)",2484,923,1561
"Vecino (007)",2295,688,1607
"Otro (008)",623,149,474
,,,
"URBANA (010)",25933,17766,8167
"Red pública dentro de la vivienda (011)",16347,14017,2330
"Red pública fuera de la vivienda (012)",2084,1391,693
"Pilón de uso público (013)",1065,229,836
"Camión - cisterna u otro similar (014)",2585,603,1982
"Pozo (015)",950,612,338
"Río, acequia, manatial o similar (016)",148,89,59
"Vecino (017)",2203,683,1520
"Otro (018)",551,142,409
,,,
"RURAL (020)",3996,1617,2379
"Red pública dentro de la vivienda (021)",108,82,26
"Red pública fuera de la vivienda (022)",47,28,19
"Pilón de uso público (023)",102,69,33
"Camión - cisterna u otro similar (024)",484,281,203
"Pozo (025)",755,311,444
"Río, acequia, manatial o similar (026)",2336,834,1502
"Vecino (027)",92,5,87
"Otro (028)",72,7,65
