"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUAYLAS (000)",49944,11443,1444,23512,9021,953,1765,673,1133
"Jefe o Jefa (001)",13080,2804,11,6379,2182,254,713,184,553
"Esposa(o)/ compa¤era(o) (002)",8764,3221,32,3679,1020,126,423,59,204
"Hijo(a)/ hijastro(a) (003)",21691,3771,1111,10863,4528,399,443,329,247
"Yerno/ nuera (004)",776,63,3,275,274,47,57,18,39
"Nieto(a) (005)",2499,688,223,1141,366,23,29,24,5
"Padres/ suegros (006)",612,400,,177,20,,9,1,5
"Otro(a) pariente (007)",2042,439,58,835,514,60,57,41,38
"Trabajador(a) del hogar (008)",44,6,,26,8,2,2,,
"Pensionista (009)",17,,,3,9,2,,,3
"Otro(a) no pariente (010)",419,51,6,134,100,40,32,17,39
"Hombres (012)",24458,4089,717,12064,5245,501,821,383,638
"Jefe o Jefa (013)",9917,1612,9,5170,1800,204,534,145,443
"Esposa(o)/ compa¤era(o) (014)",318,44,,138,84,13,15,7,17
"Hijo(a)/ hijastro(a) (015)",11190,1817,573,5485,2643,197,187,175,113
"Yerno/ nuera (016)",357,14,,119,148,20,27,10,19
"Nieto(a) (017)",1261,335,104,587,197,9,17,9,3
"Padres/ suegros (018)",140,64,,63,6,,3,1,3
"Otro(a) pariente (019)",1032,179,28,426,302,36,20,28,13
"Trabajador(a) del hogar (020)",1,1,,,,,,,
"Pensionista (021)",12,,,3,5,2,,,2
"Otro(a) no pariente (022)",230,23,3,73,60,20,18,8,25
"Mujeres (024)",25486,7354,727,11448,3776,452,944,290,495
"Jefe o Jefa (025)",3163,1192,2,1209,382,50,179,39,110
"Esposa(o)/ compa¤era(o) (026)",8446,3177,32,3541,936,113,408,52,187
"Hijo(a)/ hijastro(a) (027)",10501,1954,538,5378,1885,202,256,154,134
"Yerno/ nuera (028)",419,49,3,156,126,27,30,8,20
"Nieto(a) (029)",1238,353,119,554,169,14,12,15,2
"Padres/ suegros (030)",472,336,,114,14,,6,,2
"Otro(a) pariente (031)",1010,260,30,409,212,24,37,13,25
"Trabajador(a) del hogar (032)",43,5,,26,8,2,2,,
"Pensionista (033)",5,,,,4,,,,1
"Otro(a) no pariente (034)",189,28,3,61,40,20,14,9,14
,,,,,,,,,
"URBANA (036)",16186,1881,423,5797,4448,679,1373,557,1028
"Jefe o Jefa (037)",4484,328,3,1553,1212,195,536,152,505
"Esposa(o)/ compa¤era(o) (038)",2707,383,2,997,619,99,365,50,192
"Hijo(a)/ hijastro(a) (039)",6243,721,310,2306,1842,248,331,265,220
"Yerno/ nuera (040)",322,6,,53,136,38,39,16,34
"Nieto(a) (041)",897,208,89,363,180,15,19,21,2
"Padres/ suegros (042)",259,124,,101,19,,9,1,5
"Otro(a) pariente (043)",910,79,16,306,346,47,46,38,32
"Trabajador(a) del hogar (044)",36,3,,23,7,2,1,,
"Pensionista (045)",13,,,3,6,2,,,2
"Otro(a) no pariente (046)",315,29,3,92,81,33,27,14,36
