"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia GENERAL SANCHEZ CERRO (000)",23132,2622,523,7550,7226,1726,1470,685,1330
"Jefe o Jefa (001)",7847,708,2,2685,2352,567,638,227,668
"Esposa(o)/ compa¤era(o) (002)",4122,627,8,1612,1081,218,280,98,198
"Hijo(a)/ hijastro(a) (003)",7834,886,436,2384,2685,641,325,268,209
"Yerno/ nuera (004)",261,1,,32,140,27,38,5,18
"Nieto(a) (005)",650,129,55,235,168,31,16,14,2
"Padres/ suegros (006)",221,82,,105,15,1,6,4,8
"Otro(a) pariente (007)",1368,137,21,342,522,137,65,45,99
"Trabajador(a) del hogar (008)",25,2,,3,18,,2,,
"Pensionista (009)",19,,,4,5,1,5,3,1
"Otro(a) no pariente (010)",785,50,1,148,240,103,95,21,127
"Hombres (012)",12100,858,274,3758,4238,931,844,402,795
"Jefe o Jefa (013)",5834,267,2,2032,1937,403,507,170,516
"Esposa(o)/ compa¤era(o) (014)",229,13,1,55,86,23,14,17,20
"Hijo(a)/ hijastro(a) (015)",4209,424,231,1212,1531,353,199,154,105
"Yerno/ nuera (016)",125,1,,16,56,15,22,3,12
"Nieto(a) (017)",352,66,30,125,97,16,7,10,1
"Padres/ suegros (018)",74,11,,45,10,1,3,2,2
"Otro(a) pariente (019)",767,60,9,172,328,65,39,28,66
"Trabajador(a) del hogar (020)",13,2,,1,9,,1,,
"Pensionista (021)",14,,,4,4,,2,3,1
"Otro(a) no pariente (022)",483,14,1,96,180,55,50,15,72
"Mujeres (024)",11032,1764,249,3792,2988,795,626,283,535
"Jefe o Jefa (025)",2013,441,,653,415,164,131,57,152
"Esposa(o)/ compa¤era(o) (026)",3893,614,7,1557,995,195,266,81,178
"Hijo(a)/ hijastro(a) (027)",3625,462,205,1172,1154,288,126,114,104
"Yerno/ nuera (028)",136,,,16,84,12,16,2,6
"Nieto(a) (029)",298,63,25,110,71,15,9,4,1
"Padres/ suegros (030)",147,71,,60,5,,3,2,6
"Otro(a) pariente (031)",601,77,12,170,194,72,26,17,33
"Trabajador(a) del hogar (032)",12,,,2,9,,1,,
"Pensionista (033)",5,,,,1,1,3,,
"Otro(a) no pariente (034)",302,36,,52,60,48,45,6,55
,,,,,,,,,
"URBANA (036)",10170,876,209,2969,3107,919,838,369,883
"Jefe o Jefa (037)",3358,167,1,967,977,302,371,124,449
"Esposa(o)/ compa¤era(o) (038)",1826,202,3,679,471,107,155,56,153
"Hijo(a)/ hijastro(a) (039)",3361,346,170,981,1135,307,158,136,128
"Yerno/ nuera (040)",112,,,8,63,12,20,1,8
"Nieto(a) (041)",310,54,23,109,84,16,12,10,2
"Padres/ suegros (042)",124,40,,57,12,,4,3,8
"Otro(a) pariente (043)",643,52,12,118,238,95,44,23,61
"Trabajador(a) del hogar (044)",21,1,,1,17,,2,,
"Pensionista (045)",15,,,2,4,1,4,3,1
"Otro(a) no pariente (046)",400,14,,47,106,79,68,13,73
"Hombres (048)",5248,308,110,1410,1768,454,485,211,502
