"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia CAJABAMBA (000)",51836,9148,9809,9487,8123,5811,9458
"Católica (001)",41383,7512,8117,7657,6388,4483,7226
"Cristiana/Evangélica (002)",9418,1467,1460,1600,1562,1232,2097
"Otra (003)",300,30,54,61,42,40,73
"Ninguna (004)",735,139,178,169,131,56,62
"Hombres (006)",25161,4681,4917,4591,3853,2778,4341
"Católica (007)",20465,3879,4201,3777,3090,2149,3369
"Cristiana/Evangélica (008)",4126,709,596,680,661,572,908
"Otra (009)",145,17,18,35,22,23,30
"Ninguna (010)",425,76,102,99,80,34,34
"Mujeres (012)",26675,4467,4892,4896,4270,3033,5117
"Católica (013)",20918,3633,3916,3880,3298,2334,3857
"Cristiana/Evangélica (014)",5292,758,864,920,901,660,1189
"Otra (015)",155,13,36,26,20,17,43
"Ninguna (016)",310,63,76,70,51,22,28
,,,,,,,
"URBANA (018)",13633,2263,2535,2554,2318,1576,2387
"Católica (019)",10911,1829,2035,2044,1863,1240,1900
"Cristiana/Evangélica (020)",2260,373,397,399,378,296,417
"Otra (021)",192,15,42,42,26,20,47
"Ninguna (022)",270,46,61,69,51,20,23
"Hombres (024)",6289,1136,1217,1160,1031,708,1037
"Católica (025)",5062,921,997,932,836,549,827
"Cristiana/Evangélica (026)",985,185,172,167,149,134,178
"Otra (027)",95,8,15,26,13,12,21
"Ninguna (028)",147,22,33,35,33,13,11
"Mujeres (030)",7344,1127,1318,1394,1287,868,1350
"Católica (031)",5849,908,1038,1112,1027,691,1073
"Cristiana/Evangélica (032)",1275,188,225,232,229,162,239
"Otra (033)",97,7,27,16,13,8,26
"Ninguna (034)",123,24,28,34,18,7,12
,,,,,,,
"RURAL (036)",38203,6885,7274,6933,5805,4235,7071
"Católica (037)",30472,5683,6082,5613,4525,3243,5326
"Cristiana/Evangélica (038)",7158,1094,1063,1201,1184,936,1680
"Otra (039)",108,15,12,19,16,20,26
"Ninguna (040)",465,93,117,100,80,36,39
"Hombres (042)",18872,3545,3700,3431,2822,2070,3304
"Católica (043)",15403,2958,3204,2845,2254,1600,2542
"Cristiana/Evangélica (044)",3141,524,424,513,512,438,730
"Otra (045)",50,9,3,9,9,11,9
"Ninguna (046)",278,54,69,64,47,21,23
"Mujeres (048)",19331,3340,3574,3502,2983,2165,3767
"Católica (049)",15069,2725,2878,2768,2271,1643,2784
"Cristiana/Evangélica (050)",4017,570,639,688,672,498,950
"Otra (051)",58,6,9,10,7,9,17
"Ninguna (052)",187,39,48,36,33,15,16
