"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia LORETO (000)",17623,2614,3130,8326,154,3146,253
"Sin nivel (001)",1100,56,103,670,4,258,9
"Educación inicial (002)",17,,3,6,,8,
"Primaria (003)",7584,129,912,4449,65,1918,111
"Secundaria (004)",6056,567,1633,2787,64,883,122
"Superior no univ. incompleta (005)",675,292,171,159,6,41,6
"Superior no univ. completa (006)",870,525,199,118,6,18,4
"Superior univ. incompleta (007)",407,261,57,73,3,13,
"Superior univ. completa (008)",914,784,52,64,6,7,1
"Hombres (010)",13440,1775,2816,7036,124,1661,28
"Sin nivel (011)",717,7,69,534,2,104,1
"Educación inicial (012)",13,,2,6,,5,
"Primaria (013)",5583,78,742,3810,52,892,9
"Secundaria (014)",4977,405,1534,2365,54,602,17
"Superior no univ. incompleta (015)",537,199,166,134,5,33,
"Superior no univ. completa (016)",661,366,197,82,6,9,1
"Superior univ. incompleta (017)",314,190,55,57,2,10,
"Superior univ. completa (018)",638,530,51,48,3,6,
"Mujeres (020)",4183,839,314,1290,30,1485,225
"Sin nivel (021)",383,49,34,136,2,154,8
"Educación inicial (022)",4,,1,,,3,
"Primaria (023)",2001,51,170,639,13,1026,102
"Secundaria (024)",1079,162,99,422,10,281,105
"Superior no univ. incompleta (025)",138,93,5,25,1,8,6
"Superior no univ. completa (026)",209,159,2,36,,9,3
"Superior univ. incompleta (027)",93,71,2,16,1,3,
"Superior univ. completa (028)",276,254,1,16,3,1,1
,,,,,,,
"URBANA (030)",8619,1897,2289,3172,93,946,222
"Sin nivel (031)",191,7,29,93,2,55,5
"Educación inicial (032)",6,,3,,,3,
"Primaria (033)",2773,110,565,1433,39,524,102
"Secundaria (034)",3534,474,1266,1335,39,316,104
"Superior no univ. incompleta (035)",500,216,152,98,5,23,6
"Superior no univ. completa (036)",690,390,179,101,5,11,4
"Superior univ. incompleta (037)",273,162,46,56,2,7,
"Superior univ. completa (038)",652,538,49,56,1,7,1
"Hombres (040)",6215,1306,2067,2312,73,436,21
"Sin nivel (041)",78,5,11,51,1,10,
"Educación inicial (042)",3,,2,,,1,
"Primaria (043)",1770,61,447,1023,30,202,7
"Secundaria (044)",2767,327,1190,1013,31,193,13
"Superior no univ. incompleta (045)",385,140,148,76,4,17,
"Superior no univ. completa (046)",526,274,177,66,5,3,1
"Superior univ. incompleta (047)",211,119,44,42,2,4,
"Superior univ. completa (048)",475,380,48,41,,6,
"Mujeres (050)",2404,591,222,860,20,510,201
"Sin nivel (051)",113,2,18,42,1,45,5
"Educación inicial (052)",3,,1,,,2,
"Primaria (053)",1003,49,118,410,9,322,95
"Secundaria (054)",767,147,76,322,8,123,91
"Superior no univ. incompleta (055)",115,76,4,22,1,6,6
"Superior no univ. completa (056)",164,116,2,35,,8,3
"Superior univ. incompleta (057)",62,43,2,14,,3,
"Superior univ. completa (058)",177,158,1,15,1,1,1
,,,,,,,
"RURAL (060)",9004,717,841,5154,61,2200,31
"Sin nivel (061)",909,49,74,577,2,203,4
"Educación inicial (062)",11,,,6,,5,
"Primaria (063)",4811,19,347,3016,26,1394,9
"Secundaria (064)",2522,93,367,1452,25,567,18
"Superior no univ. incompleta (065)",175,76,19,61,1,18,
"Superior no univ. completa (066)",180,135,20,17,1,7,
"Superior univ. incompleta (067)",134,99,11,17,1,6,
"Superior univ. completa (068)",262,246,3,8,5,,
"Hombres (070)",7225,469,749,4724,51,1225,7
"Sin nivel (071)",639,2,58,483,1,94,1
"Educación inicial (072)",10,,,6,,4,
"Primaria (073)",3813,17,295,2787,22,690,2
"Secundaria (074)",2210,78,344,1352,23,409,4
"Superior no univ. incompleta (075)",152,59,18,58,1,16,
"Superior no univ. completa (076)",135,92,20,16,1,6,
"Superior univ. incompleta (077)",103,71,11,15,,6,
"Superior univ. completa (078)",163,150,3,7,3,,
"Mujeres (080)",1779,248,92,430,10,975,24
"Sin nivel (081)",270,47,16,94,1,109,3
"Educación inicial (082)",1,,,,,1,
"Primaria (083)",998,2,52,229,4,704,7
"Secundaria (084)",312,15,23,100,2,158,14
"Superior no univ. incompleta (085)",23,17,1,3,,2,
"Superior no univ. completa (086)",45,43,,1,,1,
"Superior univ. incompleta (087)",31,28,,2,1,,
"Superior univ. completa (088)",99,96,,1,2,,
