"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia UCAYALI (000)",13386,631,7570,2634,609,195,106,38,1,,1602
"Conviviente (001)",8729,440,5136,1607,363,100,56,15,1,,1011
"Separado(a) (002)",484,21,253,125,22,5,4,2,,,52
"Casado(a) (003)",2717,116,1505,631,160,65,34,15,,,191
"Viudo(a) (004)",535,30,315,102,15,5,6,4,,,58
"Divorciado(a) (005)",16,,12,2,,,,,,,2
"Soltero(a) (006)",905,24,349,167,49,20,6,2,,,288
,,,,,,,,,,,
"URBANA (008)",7543,252,4006,1718,399,134,82,21,1,,930
"Conviviente (009)",4604,165,2581,1000,221,62,43,9,1,,522
"Separado(a) (010)",317,11,156,88,16,4,2,1,,,39
"Casado(a) (011)",1657,48,847,440,113,50,30,7,,,122
"Viudo(a) (012)",307,10,174,62,12,4,4,2,,,39
"Divorciado(a) (013)",9,,6,1,,,,,,,2
"Soltero(a) (014)",649,18,242,127,37,14,3,2,,,206
,,,,,,,,,,,
"RURAL (016)",5843,379,3564,916,210,61,24,17,,,672
"Conviviente (017)",4125,275,2555,607,142,38,13,6,,,489
"Separado(a) (018)",167,10,97,37,6,1,2,1,,,13
"Casado(a) (019)",1060,68,658,191,47,15,4,8,,,69
"Viudo(a) (020)",228,20,141,40,3,1,2,2,,,19
"Divorciado(a) (021)",7,,6,1,,,,,,,
"Soltero(a) (022)",256,6,107,40,12,6,3,,,,82
