"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PURUS (000)",219,182,37
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",46,46,
"Casa pensión (003)",66,58,8
"Hospital, clinica (004)",30,7,23
"Aldea infantil, orfelinato, etc (007)",23,23,
"Otro (008)",34,34,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",20,14,6
