"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",16835,13686,1637,539,973
"Empleado (001)",1948,554,293,345,756
"Obrero (002)",1962,1174,405,176,207
"Trabajador independiente (003)",9169,8537,632,,
"Empleador o patrono (004)",157,88,56,9,4
"Trabajador familiar no remunerado (005)",3342,3076,251,9,6
"Trabajador del hogar (006)",257,257,,,
"De 06 a 14 años (008)",520,458,60,2,
"Empleado (009)",7,7,,,
"Obrero (010)",76,68,7,1,
"Trabajador independiente (011)",20,19,1,,
"Trabajador familiar no remunerado (013)",401,348,52,1,
"Trabajador del hogar (014)",16,16,,,
"De 15 a 29 años (016)",6606,5327,685,177,417
"Empleado (017)",648,212,99,52,285
"Obrero (018)",1076,601,230,117,128
"Trabajador independiente (019)",2961,2754,207,,
"Empleador o patrono (020)",63,33,26,3,1
"Trabajador familiar no remunerado (021)",1698,1567,123,5,3
"Trabajador del hogar (022)",160,160,,,
"De 30 a 44 años (024)",5341,4191,533,247,370
"Empleado (025)",870,225,131,200,314
"Obrero (026)",525,319,111,43,52
"Trabajador independiente (027)",3154,2928,226,,
"Empleador o patrono (028)",58,31,22,3,2
"Trabajador familiar no remunerado (029)",685,639,43,1,2
"Trabajador del hogar (030)",49,49,,,
"De 45 a 64 años (032)",3571,2975,307,109,180
"Empleado (033)",400,101,59,89,151
"Obrero (034)",259,164,53,15,27
"Trabajador independiente (035)",2379,2219,160,,
"Empleador o patrono (036)",32,23,5,3,1
"Trabajador familiar no remunerado (037)",475,442,30,2,1
"Trabajador del hogar (038)",26,26,,,
"De 65 y más años (040)",797,735,52,4,6
"Empleado (041)",23,9,4,4,6
"Obrero (042)",26,22,4,,
"Trabajador independiente (043)",655,617,38,,
"Empleador o patrono (044)",4,1,3,,
"Trabajador familiar no remunerado (045)",83,80,3,,
"Trabajador del hogar (046)",6,6,,,
,,,,,
"URBANA (048)",4864,3243,563,345,713
"Empleado (049)",1308,330,198,263,517
"Obrero (050)",818,419,137,73,189
"Trabajador independiente (051)",2093,1917,176,,
"Empleador o patrono (052)",66,38,20,5,3
"Trabajador familiar no remunerado (053)",402,362,32,4,4
"Trabajador del hogar (054)",177,177,,,
"De 06 a 14 años (056)",102,97,5,,
