"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PADRE ABAD (000)",223,210,13
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",129,129,
"Casa pensión (003)",51,48,3
"Hospital, clinica (004)",3,2,1
"Aldea infantil, orfelinato, etc (007)",1,1,
"Otro (008)",28,26,2
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",11,4,7
