"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia SECHURA (000)",29862,24301,5561
"De 3 a 5 años (001)",4881,409,4472
"De 6 a 11 años (002)",7922,7076,846
"De 12 a 16 años (003)",6896,6814,82
"De 17 a 24 años (004)",10163,10002,161
"Hombres (005)",14848,12082,2766
"De 3 a 5 años (006)",2450,214,2236
"De 6 a 11 años (007)",3954,3530,424
"De 12 a 16 años (008)",3509,3465,44
"De 17 a 24 años (009)",4935,4873,62
"Mujeres (010)",15014,12219,2795
"De 3 a 5 años (011)",2431,195,2236
"De 6 a 11 años (012)",3968,3546,422
"De 12 a 16 años (013)",3387,3349,38
"De 17 a 24 años (014)",5228,5129,99
,,,
"URBANA (015)",28000,22819,5181
"De 3 a 5 años (016)",4606,401,4205
"De 6 a 11 años (017)",7427,6664,763
"De 12 a 16 años (018)",6445,6369,76
"De 17 a 24 años (019)",9522,9385,137
"Hombres (020)",13886,11302,2584
"De 3 a 5 años (021)",2317,213,2104
"De 6 a 11 años (022)",3710,3324,386
"De 12 a 16 años (023)",3269,3226,43
"De 17 a 24 años (024)",4590,4539,51
"Mujeres (025)",14114,11517,2597
"De 3 a 5 años (026)",2289,188,2101
"De 6 a 11 años (027)",3717,3340,377
"De 12 a 16 años (028)",3176,3143,33
"De 17 a 24 años (029)",4932,4846,86
,,,
"RURAL (030)",1862,1482,380
"De 3 a 5 años (031)",275,8,267
"De 6 a 11 años (032)",495,412,83
"De 12 a 16 años (033)",451,445,6
"De 17 a 24 años (034)",641,617,24
"Hombres (035)",962,780,182
"De 3 a 5 años (036)",133,1,132
"De 6 a 11 años (037)",244,206,38
"De 12 a 16 años (038)",240,239,1
"De 17 a 24 años (039)",345,334,11
"Mujeres (040)",900,702,198
"De 3 a 5 años (041)",142,7,135
"De 6 a 11 años (042)",251,206,45
"De 12 a 16 años (043)",211,206,5
"De 17 a 24 años (044)",296,283,13
